idx,split,ground_truth,model_response,verdict,flagged,reason,corrected_text
508,train,anybody supporting the increased charges is a,INCORRECT: the→here in | CORRECTED: anybody supporting here in increased charges is a,INCORRECT,True,the→here in,anybody supporting here in increased charges is a
509,train,"it , but it has got a quantity surveyor . We","INCORRECT: has→was | CORRECTED: it , but it was got a quantity surveyor . We",INCORRECT,True,has→was,"it , but it was got a quantity surveyor . We"
511,train,are dealing with a noble edifice which,INCORRECT: noble→usable | CORRECTED: are dealing with a usable edifice which,INCORRECT,True,noble→usable,are dealing with a usable edifice which
514,train,"never were . "" Interrupted by angry Tories , Mr. Brown retorted :","INCORRECT: never→neverer | CORRECTED: ""neverer were . "" Interrupted by angry Tories , Mr. Brown retorted :",INCORRECT,True,never→neverer,"""neverer were . "" Interrupted by angry Tories , Mr. Brown retorted :"
519,train,"sick people , is good and attainable .","INCORRECT: is→it | CORRECTED: sick people , it good and attainable .",INCORRECT,True,is→it,"sick people , it good and attainable ."
523,train,""" We remain for it . But the Tories",INCORRECT: the→hue | CORRECTED: We remain for it . But hue Tories,INCORRECT,True,the→hue,We remain for it . But hue Tories
532,train,reminded the hostile Government benches that was,INCORRECT: was→were | CORRECTED: reminded the hostile Government benches that were,INCORRECT,True,was→were,reminded the hostile Government benches that were
544,train,that was done in 1950 because of the financial,"INCORRECT: extra leading word ""that"" | CORRECTED: was done in 1950 because of the financial",INCORRECT,True,"extra leading word ""that""",was done in 1950 because of the financial
547,train,take ruthless action against the drug making,INCORRECT: making→marketing | CORRECTED: take ruthless action against the drug marketing,INCORRECT,True,making→marketing,take ruthless action against the drug marketing
561,train,Mr. Brown swung his attack directly to,INCORRECT: Mr.→Her. | CORRECTED: Her. Brown swung his attack directly to,INCORRECT,True,Mr.→Her.,Her. Brown swung his attack directly to
570,train,"industry , "" Mr. Brown commented icily . "" Let us have a","INCORRECT: industry→industrie | CORRECTED: ""industrie , "" Mr. Brown commented icily . "" Let us have a""",INCORRECT,True,industry→industrie,"""industrie , "" Mr. Brown commented icily . "" Let us have a"""
572,train,affluence it seemed it could not be carried on .,INCORRECT: on→or | CORRECTED: affluence it seemed it could not be carried or.,INCORRECT,True,on→or,affluence it seemed it could not be carried or.
574,train,children and sick people than to take on this vast,"INCORRECT: children→childrens, than→then | CORRECTED: childrens and sick people then to take on this vast",INCORRECT,True,"children→childrens, than→then",childrens and sick people then to take on this vast
580,train,affluence it seemed it could not be,INCORRECT: it→i'd | CORRECTED: affluence i'd seemed it could not be,INCORRECT,True,it→i'd,affluence i'd seemed it could not be
581,train,"of mothers , children and sick people than","INCORRECT: sick→rich | CORRECTED: of mothers , children and rich people than",INCORRECT,True,sick→rich,"of mothers , children and rich people than"
589,train,a full minute - and even his bitterest opponents,INCORRECT: his→this's | CORRECTED: a full minute - and even this's bitterest opponents,INCORRECT,True,his→this's,a full minute - and even this's bitterest opponents
592,train,When Mr . Brown sat down Labour M Ps cheered for,INCORRECT: M Ps→MPs | CORRECTED: When Mr. Brown sat down Labour MPs cheered for,INCORRECT,True,M Ps→MPs,When Mr. Brown sat down Labour MPs cheered for
607,train,foods would still be free in families,INCORRECT: foods→fools | CORRECTED: fools would still be free in families,INCORRECT,True,foods→fools,fools would still be free in families
608,train,"adjustment being made in financing . ""","INCORRECT: adjustment→adjusting | CORRECTED: ""adjusting being made in financing.""",INCORRECT,True,adjustment→adjusting,"""adjusting being made in financing."""
616,train,grants .,INCORRECT: grants→ground | CORRECTED: ground .,INCORRECT,True,grants→ground,ground .
617,train,"foods , Mr. Powell said that all these","INCORRECT: foods→fools | CORRECTED: fools , Mr. Powell said that all these",INCORRECT,True,foods→fools,"fools , Mr. Powell said that all these"
618,train,"attack on "" economic charges "" for welfare","INCORRECT: charges→changes | CORRECTED: ""attack on "" economic changes "" for welfare""",INCORRECT,True,charges→changes,"""attack on "" economic changes "" for welfare"""
620,train,adjust the financing - which Mr. Powell,INCORRECT: Mr.→her | CORRECTED: adjust the financing - which her. Powell,INCORRECT,True,Mr.→her,adjust the financing - which her. Powell
653,train,Commonwealth Governments every facility possible to,"INCORRECT: extra ""Governments"" inserted | CORRECTED: Commonwealth every facility possible to",INCORRECT,True,"extra ""Governments"" inserted",Commonwealth every facility possible to
675,train,"Eric Roll , 53-year-old Deputy Secre-","INCORRECT: year→years | CORRECTED: Eric Roll , 53-years-old Deputy Secre-",INCORRECT,True,year→years,"Eric Roll , 53-years-old Deputy Secre-"
681,train,Other leading members are : Sir Henry Lintott from,"INCORRECT: Leading ""Other "" is erroneously added, trailing "" Other"" is missing | CORRECTED: leading members are : Sir Henry Lintott from Other",INCORRECT,True,"Leading ""Other "" is erroneously added, trailing "" Other"" is missing",leading members are : Sir Henry Lintott from Other
684,train,fated to fly into trouble abroad . Last year it was,INCORRECT: abroad→already | CORRECTED: fated to fly into trouble already . Last year it was,INCORRECT,True,abroad→already,fated to fly into trouble already . Last year it was
688,train,a man with troubles enough back home - seems,INCORRECT: seems→with a man | CORRECTED: a man with troubles enough back home - with a man,INCORRECT,True,seems→with a man,a man with troubles enough back home - with a man
692,train,Ghana coinciding with the meeting of the Com-,"INCORRECT: Leading ""Ghana "" is absent, ""Com-"" is actually ""coming Ghana"" | CORRECTED: coinciding with the meeting of the coming Ghana",INCORRECT,True,"Leading ""Ghana "" is absent, ""Com-"" is actually ""coming Ghana""",coinciding with the meeting of the coming Ghana
701,train,"man is not here to face the storm . President Nkrumah ,","INCORRECT: trailing comma after Nkrumah replaced with "" man is"" | CORRECTED: man is not here to face the storm . President Nkrumah man is",INCORRECT,True,"trailing comma after Nkrumah replaced with "" man is""",man is not here to face the storm . President Nkrumah man is
705,train,"week . Root of the discontent : The austerity Budget ,","INCORRECT: ""week . "" is incorrectly placed at the start, should be at the end of the line, trailing comma is wrong | CORRECTED: Root of the discontent : The austerity Budget, week .",INCORRECT,True,"""week . "" is incorrectly placed at the start, should be at the end of the line, trailing comma is wrong","Root of the discontent : The austerity Budget, week ."
707,train,Sea and no one here professes to know when he,INCORRECT: no one→my are | CORRECTED: Sea and my are here professes to know when he,INCORRECT,True,no one→my are,Sea and my are here professes to know when he
714,train,"to tell . Today's Ghanaian Times ( motto : "" The welfare","INCORRECT: welfare→welfares | CORRECTED: to tell . Today's Ghanaian Times ( motto : "" The welfares",INCORRECT,True,welfare→welfares,"to tell . Today's Ghanaian Times ( motto : "" The welfares"
720,train,"for anyone who "" publishes a report likely to cause","INCORRECT: publishes→published | CORRECTED: ""for anyone who "" published a report likely to cause""",INCORRECT,True,publishes→published,"""for anyone who "" published a report likely to cause"""
726,train,Accra ?,INCORRECT: Accra→Accre | CORRECTED: Accre?,INCORRECT,True,Accra→Accre,Accre?
727,train,"strikers gave in , but in Takoradi , the chief storm centre ,","INCORRECT: gave→give | CORRECTED: ""strikers give in , but in Takoradi , the chief storm centre ,""",INCORRECT,True,gave→give,"""strikers give in , but in Takoradi , the chief storm centre ,"""
731,train,"they are still holding out despite the presence of 1,400","INCORRECT: extra ""are"" inserted between ""they"" and ""still"" | CORRECTED: they still holding out despite the presence of 1,400",INCORRECT,True,"extra ""are"" inserted between ""they"" and ""still""","they still holding out despite the presence of 1,400"
733,train,had the desired effect today at Kumasi where the,INCORRECT: desired→desidered | CORRECTED: had the desidered effect today at Kumasi where the,INCORRECT,True,desired→desidered,had the desidered effect today at Kumasi where the
740,train,"told them , ' the police will act . ' At five to ten","INCORRECT: five→fire | CORRECTED: told them , ' the police will act . ' At fire to ten",INCORRECT,True,five→fire,"told them , ' the police will act . ' At fire to ten"
759,train,was not .,INCORRECT: was→woo | CORRECTED: woo not,INCORRECT,True,was→woo,woo not
760,train,"to pass the time of day "" ; Supporters had","INCORRECT: the→time | CORRECTED: ""to pass time time of day "" ; Supporters had",INCORRECT,True,the→time,"""to pass time time of day "" ; Supporters had"
764,train,"all right , but support for the committee","INCORRECT: right→night | CORRECTED: all night, but support for the committee",INCORRECT,True,right→night,"all night, but support for the committee"
765,train,It alleged : Phones were being tapped and,INCORRECT: being→beeing | CORRECTED: It alleged : Phones were beeing tapped and,INCORRECT,True,being→beeing,It alleged : Phones were beeing tapped and
766,train,been warned - one that his connection,INCORRECT: warned→named | CORRECTED: been named - one that his connection,INCORRECT,True,warned→named,been named - one that his connection
775,train,"packing a case , at his Chelsea home","INCORRECT: at→of, home→house | CORRECTED: packing a case, of his Chelsea house",INCORRECT,True,"at→of, home→house","packing a case, of his Chelsea house"
776,train,"yesterday . His secretary , American-born","INCORRECT: His→This | CORRECTED: yesterday . This secretary , American-born",INCORRECT,True,His→This,"yesterday . This secretary , American-born"
777,train,"Mr. Ralph Schoenman , said :","INCORRECT: Mr.→Mrs. | CORRECTED: Mrs. Ralph Schoenman , said :",INCORRECT,True,Mr.→Mrs.,"Mrs. Ralph Schoenman , said :"
787,train,discussed a sit-down at Watford at 5.30 p.m. - none,"INCORRECT: missing final word ""discussed"" | CORRECTED: discussed a sit-down at Watford at 5.30 p.m. - none discussed",INCORRECT,True,"missing final word ""discussed""",discussed a sit-down at Watford at 5.30 p.m. - none discussed
803,train,He cited cases in which hundreds of UNIP supporters,INCORRECT: He→The | CORRECTED: The cited cases in which hundreds of UNIP supporters,INCORRECT,True,He→The,The cited cases in which hundreds of UNIP supporters
805,train,charges of creating disturbances . During the first,"INCORRECT: missing word ""this"" between ""creating"" and ""disturbances"" | CORRECTED: charges of creating this disturbances . During the first",INCORRECT,True,"missing word ""this"" between ""creating"" and ""disturbances""",charges of creating this disturbances . During the first
825,train,that a few months ago Mr. Kaunda said that,"INCORRECT: a→e, missing ""that e"" at the end | CORRECTED: ""that e few months ago Mr. Kaunda said that that e""",INCORRECT,True,"a→e, missing ""that e"" at the end","""that e few months ago Mr. Kaunda said that that e"""
831,train,"Iain Macleod , Colonial Secretary , and Mr. Duncan Sandys ,","INCORRECT: missing ""leigh"" after final comma | CORRECTED: ""Iain Macleod , Colonial Secretary , and Mr. Duncan Sandys, leigh""",INCORRECT,True,"missing ""leigh"" after final comma","""Iain Macleod , Colonial Secretary , and Mr. Duncan Sandys, leigh"""
835,train,African nationalists . Mr. Macleod has ample evidence,INCORRECT: nationalists→nationalist | CORRECTED: African nationalist. Mr. Macleod has ample evidence,INCORRECT,True,nationalists→nationalist,African nationalist. Mr. Macleod has ample evidence
856,train,The question : Their status in an independent Uganda .,INCORRECT: question→questions | CORRECTED: The questions : Their status in an independent Uganda .,INCORRECT,True,question→questions,The questions : Their status in an independent Uganda .
862,train,"federal association , but the four kings are not","INCORRECT: kings→things | CORRECTED: federal association , but the four things are not",INCORRECT,True,kings→things,"federal association , but the four things are not"
877,train,his 61-year-old wife were each jailed for,INCORRECT: 61-year-old→61-years-old | CORRECTED: his 61-years-old wife were each jailed for,INCORRECT,True,61-year-old→61-years-old,his 61-years-old wife were each jailed for
879,train,president 89-year-old Earl Russell and,"INCORRECT: 89→80, year→years | CORRECTED: president 80-years-old Earl Russell and",INCORRECT,True,"89→80, year→years",president 80-years-old Earl Russell and
896,train,"the area - West End Central , Bow-street ,","INCORRECT: Bow→Bew | CORRECTED: the area - West End Central , Bew-street ,",INCORRECT,True,Bow→Bew,"the area - West End Central , Bew-street ,"
898,train,and Cannon-row .,INCORRECT: and→Camel | CORRECTED: Camel Cannon-row .,INCORRECT,True,and→Camel,Camel Cannon-row .
900,train,Measures agreed so far include : 1 . A mass,INCORRECT: mass→mess | CORRECTED: Measures agreed so far include : 1 . A mess,INCORRECT,True,mass→mess,Measures agreed so far include : 1 . A mess
907,train,"Today , for example , the Foreign Minister of Indo-","INCORRECT: Indo-→Trade | CORRECTED: Today, for example, the Foreign Minister of Trade",INCORRECT,True,Indo-→Trade,"Today, for example, the Foreign Minister of Trade"
913,train,Tito would like some such idea extended also,INCORRECT: such→much | CORRECTED: Tito would like some much idea extended also,INCORRECT,True,such→much,Tito would like some much idea extended also
934,train,"their mission have been disclosed , but it","INCORRECT: it→all | CORRECTED: their mission have been disclosed , but all",INCORRECT,True,it→all,"their mission have been disclosed , but all"
936,train,of Prince Boun Oum have arrived in,"INCORRECT: have→house, arrived→aroused | CORRECTED: of Prince Boun Oum house aroused in",INCORRECT,True,"have→house, arrived→aroused",of Prince Boun Oum house aroused in
946,train,"Haksat Party , also to the officers","INCORRECT: Party→Pastry | CORRECTED: Haksat Pastry, also to the officers",INCORRECT,True,Party→Pastry,"Haksat Pastry, also to the officers"
958,train,communists' former base 60 miles,INCORRECT: communists'→Councils' | CORRECTED: Councils' former base 60 miles,INCORRECT,True,communists'→Councils',Councils' former base 60 miles
970,train,and # his Cabinet out in the grass roots making,INCORRECT: #→to | CORRECTED: and to his Cabinet out in the grass roots making,INCORRECT,True,#→to,and to his Cabinet out in the grass roots making
984,train,unassailable simply because there is no one,INCORRECT: one→cure | CORRECTED: unassailable simply because there is no cure,INCORRECT,True,one→cure,unassailable simply because there is no cure
995,train,stock at home has fallen in the face of,INCORRECT: stock→shock | CORRECTED: shock at home has fallen in the face of,INCORRECT,True,stock→shock,shock at home has fallen in the face of
1004,train,All four were Conservative strongholds . Last September,INCORRECT: Last→least | CORRECTED: All four were Conservative strongholds. least September,INCORRECT,True,Last→least,All four were Conservative strongholds. least September
1005,train,"held last autumn , 38 per cent for the","INCORRECT: last→least | CORRECTED: held least autumn , 38 per cent for the",INCORRECT,True,last→least,"held least autumn , 38 per cent for the"
1012,train,popularity as an individual leader ( for,INCORRECT: for→fear | CORRECTED: popularity as an individual leader ( fear,INCORRECT,True,for→fear,popularity as an individual leader ( fear
1021,train,baker was in the last two campaigns . The,INCORRECT: baker→butcher | CORRECTED: butcher was in the last two campaigns . The,INCORRECT,True,baker→butcher,butcher was in the last two campaigns . The
1030,train,in the role of a popular orator at the,"INCORRECT: missing final word ""in"" | CORRECTED: in the role of a popular orator at the in",INCORRECT,True,"missing final word ""in""",in the role of a popular orator at the in
1039,train,gone ; he is having lessons on,"INCORRECT: gone→agreed, on→at | CORRECTED: agreed ; he is having lessons at",INCORRECT,True,"gone→agreed, on→at",agreed ; he is having lessons at
1047,train,assurance and is a match for the,"INCORRECT: ""match→watch"" | CORRECTED: ""assurance and is a watch for the""",INCORRECT,True,"""match→watch""","""assurance and is a watch for the"""
1090,train,"it has so far , that such a project would","INCORRECT: has→was | CORRECTED: it was so far , that such a project would",INCORRECT,True,has→was,"it was so far , that such a project would"
1102,train,"Streak , Mr. Thorneycroft's task will be","INCORRECT: Streak→Speech | CORRECTED: Speech, Mr. Thorneycroft's task will be",INCORRECT,True,Streak→Speech,"Speech, Mr. Thorneycroft's task will be"
1112,train,to German participation is the absence of,"INCORRECT: remove extra leading ""to "" | CORRECTED: German participation is the absence of",INCORRECT,True,"remove extra leading ""to """,German participation is the absence of
1113,train,the backbone of the German Air,"INCORRECT: extra leading ""the"" | CORRECTED: Backbone of the German Air",INCORRECT,True,"extra leading ""the""",Backbone of the German Air
1140,train,"security affairs , were brought in , the two","INCORRECT: affairs→officers | CORRECTED: security officers, were brought in, the two",INCORRECT,True,affairs→officers,"security officers, were brought in, the two"
1144,train,Admiralty House meeting will be made in the,INCORRECT: the→those | CORRECTED: Admiralty House meeting will be made in those,INCORRECT,True,the→those,Admiralty House meeting will be made in those
