wrong,correct,count,type,wrong_repr,correct_repr
was ,,3,delete_n:0,'was ',''
he,o,3,merge_n:1,'he','o'
 ... .,,3,delete_n:0,' ... .',''
tt,ll,3,replace_2:2,'tt','ll'
is,at,3,replace_2:2,'is','at'
wa,use,3,replace_2:3,'wa','use'
1,al,3,split_1:n,'1','al'
,vi,3,insert_0:n,'','vi'
It,H,3,merge_n:1,'It','H'
s,ing,3,split_1:n,'s','ing'
is,er,3,replace_2:2,'is','er'
,ch,3,insert_0:n,'','ch'
up,my,3,replace_2:2,'up','my'
" "" ",,3,delete_n:0,"' "" '",''
u,en,3,split_1:n,'u','en'
w,me,3,split_1:n,'w','me'
,p,3,insert_0:n,'','p'
k,lie,3,split_1:n,'k','lie'
os,ar,3,replace_2:2,'os','ar'
be ,,3,delete_n:0,'be ',''
 -,,3,delete_n:0,' -',''
,wa,3,insert_0:n,'','wa'
to ,,3,delete_n:0,'to ',''
w,,3,delete_n:0,'w',''
o,en,3,split_1:n,'o','en'
,"""""",3,insert_0:n,'',"'""""'"
on,as,3,replace_2:2,'on','as'
,s',3,insert_0:n,'',"""s'"""
on,ar,3,replace_2:2,'on','ar'
r ,,3,delete_n:0,'r ',''
d,th,3,split_1:n,'d','th'
b,th,3,split_1:n,'b','th'
s,ed,3,split_1:n,'s','ed'
,st,3,insert_0:n,'','st'
,R,3,insert_0:n,'','R'
nd,t,3,merge_n:1,'nd','t'
,de,3,insert_0:n,'','de'
o,es,3,split_1:n,'o','es'
a,ce,3,split_1:n,'a','ce'
ti,ha,3,replace_2:2,'ti','ha'
ne,us,3,replace_2:2,'ne','us'
#,to,3,split_1:n,'#','to'
,cil,3,insert_0:n,'','cil'
oul,ante,3,replace_3:4,'oul','ante'
a,re,3,split_1:n,'a','re'
,al,3,insert_0:n,'','al'
,le,2,insert_0:n,'','le'
a,or,2,split_1:n,'a','or'
an,su,2,replace_2:2,'an','su'
,ny,2,insert_0:n,'','ny'
nk,ul,2,replace_2:2,'nk','ul'
or,,2,delete_n:0,'or',''
H,"""th",2,split_1:n,'H',"'""th'"
w,th,2,split_1:n,'w','th'
d,ly,2,split_1:n,'d','ly'
" ,",s,2,merge_n:1,"' ,'",'s'
,the,2,insert_0:n,'','the'
 :,,2,delete_n:0,' :',''
as,go,2,replace_2:2,'as','go'
,of ,2,insert_0:n,'','of '
u,in,2,split_1:n,'u','in'
no,ma,2,replace_2:2,'no','ma'
tuat,sh,2,replace_4:2,'tuat','sh'
1t,T,2,merge_n:1,'1t','T'
ha,use,2,replace_2:3,'ha','use'
,ri,2,insert_0:n,'','ri'
,ma,2,insert_0:n,'','ma'
, such,2,insert_0:n,'',' such'
d,st,2,split_1:n,'d','st'
tra,,2,delete_n:0,'tra',''
e,ing,2,split_1:n,'e','ing'
not ,,2,delete_n:0,'not ',''
 .,g,2,merge_n:1,' .','g'
I,,2,delete_n:0,'I',''
tl,h,2,merge_n:1,'tl','h'
er,s,2,merge_n:1,'er','s'
rt,d,2,merge_n:1,'rt','d'
 ',"""",2,merge_n:1,""" '""","'""'"
,I ,2,insert_0:n,'','I '
o,at,2,split_1:n,'o','at'
 .,"""",2,merge_n:1,' .',"'""'"
and ,,2,delete_n:0,'and ',''
,iv,2,insert_0:n,'','iv'
k,lc,2,split_1:n,'k','lc'
d,ct,2,split_1:n,'d','ct'
m,llu,2,split_1:n,'m','llu'
e,co,2,split_1:n,'e','co'
th,flu,2,replace_2:3,'th','flu'
u,ea,2,split_1:n,'u','ea'
w,nal,2,split_1:n,'w','nal'
 2,,2,delete_n:0,' 2',''
2,,2,delete_n:0,'2',''
,ar,2,insert_0:n,'','ar'
" , """,,2,delete_n:0,"' , ""'",''
" "" """,,2,delete_n:0,"' "" ""'",''
w,ar,2,split_1:n,'w','ar'
m,wy,2,split_1:n,'m','wy'
,rs,2,insert_0:n,'','rs'
es ,,2,delete_n:0,'es ',''
" "" .",,2,delete_n:0,"' "" .'",''
,lunc,2,insert_0:n,'','lunc'
m ,s,2,merge_n:1,'m ','s'
d,al,2,split_1:n,'d','al'
on,m,2,merge_n:1,'on','m'
. L,l,2,merge_n:1,'. L','l'
ear,sou,2,replace_3:3,'ear','sou'
th,l,2,merge_n:1,'th','l'
n,mm,2,split_1:n,'n','mm'
ck,de,2,replace_2:2,'ck','de'
y,gr,2,split_1:n,'y','gr'
,my ,2,insert_0:n,'','my '
6,Go,2,split_1:n,'6','Go'
w,ver,2,split_1:n,'w','ver'
o,he,2,split_1:n,'o','he'
Ita,Ho,2,replace_3:2,'Ita','Ho'
h,lo,2,split_1:n,'h','lo'
n ,m,2,merge_n:1,'n ','m'
s,nd,2,split_1:n,'s','nd'
d ,,2,delete_n:0,'d ',''
an,our,2,replace_2:3,'an','our'
i,ve,2,split_1:n,'i','ve'
u,ar,2,split_1:n,'u','ar'
, was,2,insert_0:n,'',' was'
me,,2,delete_n:0,'me',''
m,nn,2,split_1:n,'m','nn'
o,eal,2,split_1:n,'o','eal'
w,acc,2,split_1:n,'w','acc'
,ci,2,insert_0:n,'','ci'
r,st,2,split_1:n,'r','st'
,k,2,insert_0:n,'','k'
b,,2,delete_n:0,'b',''
; ,,2,delete_n:0,'; ',''
,fi,2,insert_0:n,'','fi'
da,the,2,replace_2:3,'da','the'
,ged,2,insert_0:n,'','ged'
e ,,2,delete_n:0,'e ',''
no,my,2,replace_2:2,'no','my'
,"s""",2,insert_0:n,'',"'s""'"
ac,ex,2,replace_2:2,'ac','ex'
 ;,",",2,merge_n:1,' ;',"','"
h,im,2,split_1:n,'h','im'
he,wo,2,replace_2:2,'he','wo'
m,us,2,split_1:n,'m','us'
au,ev,2,replace_2:2,'au','ev'
a,cu,2,split_1:n,'a','cu'
a,ev,2,split_1:n,'a','ev'
d,el,2,split_1:n,'d','el'
o,ca,2,split_1:n,'o','ca'
,C,2,insert_0:n,'','C'
#,was,2,split_1:n,'#','was'
av,ous,2,replace_2:3,'av','ous'
mm,,2,delete_n:0,'mm',''
n,ver,2,split_1:n,'n','ver'
on,cur,2,replace_2:3,'on','cur'
G,Cr,2,split_1:n,'G','Cr'
s .,,2,delete_n:0,'s .',''
at,,2,delete_n:0,'at',''
,su,2,insert_0:n,'','su'
nd,mal,2,replace_2:3,'nd','mal'
 :,;,2,merge_n:1,' :',';'
H,tt,2,split_1:n,'H','tt'
',,2,delete_n:0,"""'""",''
a,ive,2,split_1:n,'a','ive'
,wi,2,insert_0:n,'','wi'
k,he,2,split_1:n,'k','he'
f,,2,delete_n:0,'f',''
,ck,2,insert_0:n,'','ck'
e,ou,2,split_1:n,'e','ou'
,"ly""",2,insert_0:n,'',"'ly""'"
,n't,2,insert_0:n,'',"""n't"""
n,se,2,split_1:n,'n','se'
,oc,2,insert_0:n,'','oc'
d,sh,2,split_1:n,'d','sh'
om,,2,delete_n:0,'om',''
ar,os,2,replace_2:2,'ar','os'
wer,,2,delete_n:0,'wer',''
ou,a,2,merge_n:1,'ou','a'
,et,2,insert_0:n,'','et'
un,,2,delete_n:0,'un',''
out,and,2,replace_3:3,'out','and'
i,e',2,split_1:n,'i',"""e'"""
b,liv,2,split_1:n,'b','liv'
o,er,2,split_1:n,'o','er'
""" T",t,2,merge_n:1,"'"" T'",'t'
, they,2,insert_0:n,'',' they'
th,M,2,merge_n:1,'th','M'
#,treat,2,split_1:n,'#','treat'
u,as,2,split_1:n,'u','as'
t,nd,2,split_1:n,'t','nd'
ew,,2,delete_n:0,'ew',''
w,st,2,split_1:n,'w','st'
,ve,2,insert_0:n,'','ve'
re,ac,2,replace_2:2,'re','ac'
,os,2,insert_0:n,'','os'
 ) ,,2,delete_n:0,' ) ',''
Mr.,the,2,replace_3:3,'Mr.','the'
s,rt,2,split_1:n,'s','rt'
n,ry,2,split_1:n,'n','ry'
,il,2,insert_0:n,'','il'
- ,,2,delete_n:0,'- ',''
r .,s,2,merge_n:1,'r .','s'
on,caus,2,replace_2:4,'on','caus'
,leas,2,insert_0:n,'','leas'
in,,2,delete_n:0,'in',''
is ,"""",2,merge_n:1,'is ',"'""'"
om,aus,2,replace_2:3,'om','aus'
al,,2,delete_n:0,'al',''
a,un,2,split_1:n,'a','un'
, priest,2,insert_0:n,'',' priest'
,rke,2,insert_0:n,'','rke'
m,ir,2,split_1:n,'m','ir'
,S,2,insert_0:n,'','S'
v,ce,2,split_1:n,'v','ce'
n,vi,2,split_1:n,'n','vi'
,te,2,insert_0:n,'','te'
h,ak,2,split_1:n,'h','ak'
e,st,2,split_1:n,'e','st'
ar,,2,delete_n:0,'ar',''
,ey,2,insert_0:n,'','ey'
w,eds,2,split_1:n,'w','eds'
,em,2,insert_0:n,'','em'
ch,de,2,replace_2:2,'ch','de'
mmo,u,2,merge_n:1,'mmo','u'
rw,in,1,replace_2:2,'rw','in'
an,o,1,merge_n:1,'an','o'
u,is,1,split_1:n,'u','is'
ck,d,1,merge_n:1,'ck','d'
bu,Sis,1,replace_2:3,'bu','Sis'
s,Simply S,1,split_1:n,'s','Simply S'
t,dly,1,split_1:n,'t','dly'
t,od,1,split_1:n,'t','od'
ar,n,1,merge_n:1,'ar','n'
s,and,1,split_1:n,'s','and'
And,What,1,replace_3:4,'And','What'
into ,,1,delete_n:0,'into ',''
bor,sc,1,replace_3:2,'bor','sc'
er,it,1,replace_2:2,'er','it'
r ,n,1,merge_n:1,'r ','n'
u,er,1,split_1:n,'u','er'
 ,ses,1,split_1:n,' ','ses'
wa,i,1,merge_n:1,'wa','i'
on,er,1,replace_2:2,'on','er'
ery,ag,1,replace_3:2,'ery','ag'
u,ess,1,split_1:n,'u','ess'
 more,,1,delete_n:0,' more',''
,vou,1,insert_0:n,'','vou'
,me,1,insert_0:n,'','me'
"l . """,m,1,merge_n:1,"'l . ""'",'m'
,sed,1,insert_0:n,'','sed'
until,morfydd,1,replace_5:7,'until','morfydd'
e,ird,1,split_1:n,'e','ird'
,Mo ,1,insert_0:n,'','Mo '
, into,1,insert_0:n,'',' into'
w,stly,1,split_1:n,'w','stly'
d,ainers,1,split_1:n,'d','ainers'
,Do,1,insert_0:n,'','Do'
n .,ut,1,replace_3:2,'n .','ut'
've,is,1,replace_3:2,"""'ve""",'is'
""" W",h,1,merge_n:1,"'"" W'",'h'
ck ,d,1,merge_n:1,'ck ','d'
" ? """,y,1,merge_n:1,"' ? ""'",'y'
v,nc,1,split_1:n,'v','nc'
a,ue,1,split_1:n,'a','ue'
en,"st""""",1,replace_2:4,'en',"'st""""'"
A,Fi,1,split_1:n,'A','Fi'
w,"""s",1,split_1:n,'w',"'""s'"
 It ,H,1,merge_n:1,' It ','H'
no,was,1,replace_2:3,'no','was'
If,F,1,merge_n:1,'If','F'
,tr,1,insert_0:n,'','tr'
m,ut,1,split_1:n,'m','ut'
,it,1,insert_0:n,'','it'
to,back,1,replace_2:4,'to','back'
W,th,1,split_1:n,'W','th'
hy,ligg,1,replace_2:4,'hy','ligg'
h,In,1,split_1:n,'h','In'
o,as,1,split_1:n,'o','as'
Our,"the""",1,replace_3:4,'Our',"'the""'"
,"Ardwell,",1,insert_0:n,'',"'Ardwell,'"
, what,1,insert_0:n,'',' what'
what ,,1,delete_n:0,'what ',''
, things.,1,insert_0:n,'',' things.'
yo,Ya,1,replace_2:2,'yo','Ya'
e ,a,1,merge_n:1,'e ','a'
""" "" H",W,1,merge_n:1,"'"" "" H'",'W'
wa,Wro,1,replace_2:3,'wa','Wro'
um,een,1,replace_2:3,'um','een'
mmon,u,1,merge_n:1,'mmon','u'
,auti,1,insert_0:n,'','auti'
a,nce,1,split_1:n,'a','nce'
is,and,1,replace_2:3,'is','and'
#,At,1,split_1:n,'#','At'
i-,.,1,merge_n:1,'i-','.'
 ;,,1,delete_n:0,' ;',''
k,ch,1,split_1:n,'k','ch'
,"ver,",1,insert_0:n,'',"'ver,'"
th,How,1,replace_2:3,'th','How'
"When , h",H,1,merge_n:1,"'When , h'",'H'
ok,h,1,merge_n:1,'ok','h'
. N,wh,1,replace_3:2,'. N','wh'
b,qu,1,split_1:n,'b','qu'
ld,ght,1,replace_2:3,'ld','ght'
ou,enni,1,replace_2:4,'ou','enni'
im,er,1,replace_2:2,'im','er'
ll,tt,1,replace_2:2,'ll','tt'
, probably,1,insert_0:n,'',' probably'
,ro,1,insert_0:n,'','ro'
,ple,1,insert_0:n,'','ple'
1h,st,1,replace_2:2,'1h','st'
nd,ls,1,replace_2:2,'nd','ls'
h, me,1,split_1:n,'h',' me'
we,us,1,replace_2:2,'we','us'
ing,y,1,merge_n:1,'ing','y'
urb,en,1,replace_3:2,'urb','en'
,hear,1,insert_0:n,'','hear'
n,red,1,split_1:n,'n','red'
l ,s,1,merge_n:1,'l ','s'
, that,1,insert_0:n,'',' that'
o .,day,1,replace_3:3,'o .','day'
, its off,1,insert_0:n,'',' its off'
o,eed,1,split_1:n,'o','eed'
we,su,1,replace_2:2,'we','su'
,"ever""",1,insert_0:n,'',"'ever""'"
M,sm,1,split_1:n,'M','sm'
ur,ha,1,replace_2:2,'ur','ha'
the,Hu,1,replace_3:2,'the','Hu'
( an,for,1,replace_4:3,'( an','for'
Ha,thi,1,replace_2:3,'Ha','thi'
F,Tr,1,split_1:n,'F','Tr'
y,ening,1,split_1:n,'y','ening'
f,ved,1,split_1:n,'f','ved'
ce,Co,1,replace_2:2,'ce','Co'
S,slep,1,split_1:n,'S','slep'
a,lec,1,split_1:n,'a','lec'
nt,d,1,merge_n:1,'nt','d'
,ati,1,insert_0:n,'','ati'
houl,tarte,1,replace_4:5,'houl','tarte'
St,Th,1,replace_2:2,'St','Th'
cula,tione,1,replace_4:5,'cula','tione'
ar,e,1,merge_n:1,'ar','e'
u,or,1,split_1:n,'u','or'
wh,in t,1,replace_2:4,'wh','in t'
in,out,1,replace_2:3,'in','out'
e,ly,1,split_1:n,'e','ly'
a,er,1,split_1:n,'a','er'
pro,,1,delete_n:0,'pro',''
, pro-,1,insert_0:n,'',' pro-'
eve,,1,delete_n:0,'eve',''
chards to,,1,delete_n:0,'chards to',''
,on claims f,1,insert_0:n,'','on claims f'
ural,ed,1,replace_4:2,'ural','ed'
a, collec,1,split_1:n,'a',' collec'
A n,Gr,1,replace_3:2,'A n','Gr'
o,se,1,split_1:n,'o','se'
m,ar,1,split_1:n,'m','ar'
r,ning,1,split_1:n,'r','ning'
eservo,a,1,merge_n:1,'eservo','a'
o,ne,1,split_1:n,'o','ne'
unu,immer,1,replace_3:5,'unu','immer'
v,cl,1,split_1:n,'v','cl'
 11-12,d.M.Rc,1,replace_6:6,' 11-12','d.M.Rc'
no,bes,1,replace_2:3,'no','bes'
n .,m,1,merge_n:1,'n .','m'
nu,ca,1,replace_2:2,'nu','ca'
hol,wi,1,replace_3:2,'hol','wi'
,sc,1,insert_0:n,'','sc'
ow,and,1,replace_2:3,'ow','and'
was,order,1,replace_3:5,'was','order'
t h,ng,1,replace_3:2,'t h','ng'
 w,xc,1,replace_2:2,' w','xc'
,ly ,1,insert_0:n,'','ly '
ate,ory,1,replace_3:3,'ate','ory'
,ut o,1,insert_0:n,'','ut o'
w,xt,1,split_1:n,'w','xt'
, strike,1,insert_0:n,'',' strike'
im ,en,1,replace_3:2,'im ','en'
C O,So,1,replace_3:2,'C O','So'
n .,u,1,merge_n:1,'n .','u'
ma,woun,1,replace_2:4,'ma','woun'
, symbols (the MANISHTANO),1,insert_0:n,'',' symbols (the MANISHTANO)'
,erc,1,insert_0:n,'','erc'
n ,u,1,merge_n:1,'n ','u'
US,CT,1,replace_2:2,'US','CT'
s ,n,1,merge_n:1,'s ','n'
 2 ,Q,1,merge_n:1,' 2 ','Q'
u,wa,1,split_1:n,'u','wa'
th,"""Hu",1,replace_2:3,'th',"'""Hu'"
," in the first part of the shualu, we have first ""and in""",1,insert_0:n,'',"' in the first part of the shualu, we have first ""and in""'"
h ,lu,1,replace_2:2,'h ','lu'
". "" Th",ti,1,replace_6:2,"'. "" Th'",'ti'
an,woul,1,replace_2:4,'an','woul'
" "" ,",,1,delete_n:0,"' "" ,'",''
e,ca,1,split_1:n,'e','ca'
" fear ,",,1,delete_n:0,"' fear ,'",''
est,ard,1,replace_3:3,'est','ard'
n,ug,1,split_1:n,'n','ug'
m,uy,1,split_1:n,'m','uy'
n,yu,1,split_1:n,'n','yu'
", "" ",,1,delete_n:0,"', "" '",''
oo,ac,1,replace_2:2,'oo','ac'
," diamond""",1,insert_0:n,'',"' diamond""'"
diamond ,"""",1,merge_n:1,'diamond ',"'""'"
7 ,4,1,merge_n:1,'7 ','4'
am,ow,1,replace_2:2,'am','ow'
,cts,1,insert_0:n,'','cts'
," personal""",1,insert_0:n,'',"' personal""'"
personal ,"""",1,merge_n:1,'personal ',"'""'"
an,em,1,replace_2:2,'an','em'
,rac,1,insert_0:n,'','rac'
w,ch,1,split_1:n,'w','ch'
a,orin,1,split_1:n,'a','orin'
" """,!!,1,replace_2:2,"' ""'",'!!'
s,"""S",1,split_1:n,'s',"'""S'"
you,gain,1,replace_3:4,'you','gain'
.,was,1,split_1:n,'.','was'
e,"ing""",1,split_1:n,'e',"'ing""'"
h,us,1,split_1:n,'h','us'
Luk,leav,1,replace_3:4,'Luk','leav'
,laug,1,insert_0:n,'','laug'
at,eir,1,replace_2:3,'at','eir'
""" "" ",,1,delete_n:0,"'"" "" '",''
, married to the sweetest wife in the world,1,insert_0:n,'',' married to the sweetest wife in the world'
v,ugu,1,split_1:n,'v','ugu'
n,"""m",1,split_1:n,'n',"'""m'"
 Y,b,1,merge_n:1,' Y','b'
si,cl,1,replace_2:2,'si','cl'
. H,sh,1,replace_3:2,'. H','sh'
n,ut,1,split_1:n,'n','ut'
u,ncea,1,split_1:n,'u','ncea'
2y,Expr,1,replace_2:4,'2y','Expr'
2,I ,1,split_1:n,'2','I '
on,ask,1,replace_2:3,'on','ask'
, rest.,1,insert_0:n,'',' rest.'
,ni,1,insert_0:n,'','ni'
t ,d,1,merge_n:1,'t ','d'
 last,,1,delete_n:0,' last',''
p',thi,1,replace_2:3,"""p'""",'thi'
,last ,1,insert_0:n,'','last '
n,"d us""",1,split_1:n,'n',"'d us""'"
,atc,1,insert_0:n,'','atc'
ere,at,1,replace_3:2,'ere','at'
,"r""",1,insert_0:n,'',"'r""'"
wa,eve,1,replace_2:3,'wa','eve'
,ting,1,insert_0:n,'','ting'
nd h,ss,1,replace_4:2,'nd h','ss'
m,ev,1,split_1:n,'m','ev'
c,be,1,split_1:n,'c','be'
t,rk,1,split_1:n,'t','rk'
n,use,1,split_1:n,'n','use'
,clusiv,1,insert_0:n,'','clusiv'
mach,,1,delete_n:0,'mach',''
, success,1,insert_0:n,'',' success'
success ,,1,delete_n:0,'success ',''
mm,ncurr,1,replace_2:5,'mm','ncurr'
 G,b,1,merge_n:1,' G','b'
Mc,,1,delete_n:0,'Mc',''
,"""Me",1,insert_0:n,'',"'""Me'"
 ? ,.,1,merge_n:1,' ? ','.'
v,ax,1,split_1:n,'v','ax'
vo,,1,delete_n:0,'vo',''
bu,oa,1,replace_2:2,'bu','oa'
u,ing,1,split_1:n,'u','ing'
h,is,1,split_1:n,'h','is'
nts ,d,1,merge_n:1,'nts ','d'
m, provid,1,split_1:n,'m',' provid'
mm,venant ,1,replace_2:7,'mm','venant '
 he,,1,delete_n:0,' he',''
h, n,1,split_1:n,'h',' n'
lf,y ,1,replace_2:2,'lf','y '
w ,dy,1,replace_2:2,'w ','dy'
,"ss""",1,insert_0:n,'',"'ss""'"
riag,n,1,merge_n:1,'riag','n'
 M,H,1,merge_n:1,' M','H'
 C ,E,1,merge_n:1,' C ','E'
nc,me,1,replace_2:2,'nc','me'
a,eg,1,split_1:n,'a','eg'
nn .,h,1,merge_n:1,'nn .','h'
,ert,1,insert_0:n,'','ert'
ste,lu,1,replace_3:2,'ste','lu'
vi,dre,1,replace_2:3,'vi','dre'
st,cally,1,replace_2:5,'st','cally'
hn,lv,1,replace_2:2,'hn','lv'
at,e,1,merge_n:1,'at','e'
un,rme,1,replace_2:3,'un','rme'
wn,ughout,1,replace_2:6,'wn','ughout'
kn,thr,1,replace_2:3,'kn','thr'
no,the,1,replace_2:3,'no','the'
, Never,1,insert_0:n,'',' Never'
ho,la,1,replace_2:2,'ho','la'
6,"""Co",1,split_1:n,'6',"'""Co'"
 at ,,1,delete_n:0,' at ',''
r,mul,1,split_1:n,'r','mul'
,den,1,insert_0:n,'','den'
rma,su,1,replace_3:2,'rma','su'
,x,1,insert_0:n,'','x'
cu,we,1,replace_2:2,'cu','we'
an,oo,1,replace_2:2,'an','oo'
,pace s,1,insert_0:n,'','pace s'
y ,ies,1,replace_2:3,'y ','ies'
a,so,1,split_1:n,'a','so'
an,94,1,replace_2:2,'an','94'
ee,ou,1,replace_2:2,'ee','ou'
I,and,1,split_1:n,'I','and'
ful,ted,1,replace_3:3,'ful','ted'
Nor i,I,1,merge_n:1,'Nor i','I'
ms,ward,1,replace_2:4,'ms','ward'
n,ma,1,split_1:n,'n','ma'
, also,1,insert_0:n,'',' also'
 childle,,1,delete_n:0,' childle',''
ng,ps dwell,1,replace_2:8,'ng','ps dwell'
-, in comes,1,split_1:n,'-',' in comes'
writ,mak,1,replace_4:3,'writ','mak'
t,bl,1,split_1:n,'t','bl'
,cei,1,insert_0:n,'','cei'
 but,lived,1,replace_4:5,' but','lived'
"""",,1,delete_n:0,"'""'",''
an,om,1,replace_2:2,'an','om'
se,,1,delete_n:0,'se',''
,res,1,insert_0:n,'','res'
ha,Lor,1,replace_2:3,'ha','Lor'
n,'m,1,split_1:n,'n',"""'m"""
bu,no,1,replace_2:2,'bu','no'
#,beeing,1,split_1:n,'#','beeing'
f,ld,1,split_1:n,'f','ld'
om,an,1,replace_2:2,'om','an'
bl,si,1,replace_2:2,'bl','si'
" ' ,",,1,delete_n:0,""" ' ,""",''
c,ev,1,split_1:n,'c','ev'
m,wn,1,split_1:n,'m','wn'
or,at,1,replace_2:2,'or','at'
an,ere,1,replace_2:3,'an','ere'
,I,1,insert_0:n,'','I'
#,May,1,split_1:n,'#','May'
,an,1,insert_0:n,'','an'
f,th,1,split_1:n,'f','th'
rr,m,1,merge_n:1,'rr','m'
,and ,1,insert_0:n,'','and '
' to,I,1,merge_n:1,"""' to""",'I'
ling,ty,1,replace_4:2,'ling','ty'
a,ecur,1,split_1:n,'a','ecur'
tho,A,1,merge_n:1,'tho','A'
,ng,1,insert_0:n,'','ng'
d,ish,1,split_1:n,'d','ish'
.. .,,1,delete_n:0,'.. .',''
a,ig,1,split_1:n,'a','ig'
bu,i,1,merge_n:1,'bu','i'
"me ,",way,1,replace_4:3,"'me ,'",'way'
,alk,1,insert_0:n,'','alk'
", bu",,1,delete_n:0,"', bu'",''
hur,lemen,1,replace_3:5,'hur','lemen'
,T,1,insert_0:n,'','T'
