idx,split,ground_truth,model_response,verdict,flagged,reason,corrected_text
38,train,large majority of Labour 0m Ps are likely to turn,INCORRECT: 0m→OM | CORRECTED: large majority of Labour OM Ps are likely to turn,INCORRECT,True,0m→OM,large majority of Labour OM Ps are likely to turn
39,train,that the House of Lords should be abolished and,CORRECT,CORRECT,False,,
40,train,"Though they may gather some Left-wing support , a",CORRECT,CORRECT,False,,
41,train,down the Foot-Griffiths resolution . Mr. Foot's line,CORRECT,CORRECT,False,,
42,train,"ment Bill which brought life peers into existence , they",CORRECT,CORRECT,False,,
43,train,should not now put forward nominees . He believes,CORRECT,CORRECT,False,,
44,train,get together to face the challenge from Sir,INCORRECT: Sir→Surg | CORRECTED: get together to face the challenge from Surg,INCORRECT,True,Sir→Surg,get together to face the challenge from Surg
45,train,members . THE two rival African Nationalist,CORRECT,CORRECT,False,,
46,train,"Roy Welensky , the Federal Premier .",CORRECT,CORRECT,False,,
47,train,Parties of Northern Rhodesia have agreed to,CORRECT,CORRECT,False,,
48,train,Peeresses have been created . Most Labour,INCORRECT: Labour→Colours | CORRECTED: Peeresses have been created. Most Colours,INCORRECT,True,Labour→Colours,Peeresses have been created. Most Colours
49,train,Labour has to have an adequate number of,CORRECT,CORRECT,False,,
50,train,sentiment would # still favour the abolition,CORRECT,CORRECT,False,,
51,train,"of the House of Lords , but while it remains","INCORRECT: it→sit, remains→presumptions | CORRECTED: of the House of Lords, but while sit presumptions",INCORRECT,True,"it→sit, remains→presumptions","of the House of Lords, but while sit presumptions"
52,train,"Since 1958 , 13 Labour life Peers and","INCORRECT: Since→Science | CORRECTED: Science 1958 , 13 Labour life Peers and",INCORRECT,True,Since→Science,"Science 1958 , 13 Labour life Peers and"
53,train,of members . THE two rival African,INCORRECT: African→thieves | CORRECTED: of members . THE two rival thieves,INCORRECT,True,African→thieves,of members . THE two rival thieves
54,train,Peeresses have been created . Most Labour,CORRECT,CORRECT,False,,
55,train,"the challenge from Sir Roy Welensky ,",CORRECT,CORRECT,False,,
56,train,"of the House of Lords , but while it remains",CORRECT,CORRECT,False,,
57,train,have agreed to get together to face,CORRECT,CORRECT,False,,
58,train,"Since 1958 , 13 Labour life Peers and",CORRECT,CORRECT,False,,
59,train,the Federal Premier .,CORRECT,CORRECT,False,,
60,train,Labour has to have an adequate number,"INCORRECT: has→was, to→do | CORRECTED: Labour was do have an adequate number",INCORRECT,True,"has→was, to→do",Labour was do have an adequate number
61,train,Nationalist Parties of Northern Rhodesia,CORRECT,CORRECT,False,,
62,train,sentiment would still favour the abolition,CORRECT,CORRECT,False,,
63,train,Peeresses have been created . Most Labour sentiment,INCORRECT: Labour→Palace | CORRECTED: Peeresses have been created . Most Palace sentiment,INCORRECT,True,Labour→Palace,Peeresses have been created . Most Palace sentiment
64,train,"Since 1958 , 13 Labour life Peers and #","INCORRECT: life→Life, #→Peers | CORRECTED: Since 1958, 13 Labour Life Peers and Peers",INCORRECT,True,"life→Life, #→Peers","Since 1958, 13 Labour Life Peers and Peers"
65,train,"of Lords , but while it remains Labour has to",CORRECT,CORRECT,False,,
66,train,"challenge from Sir Roy Welensky , the Federal Premier .",CORRECT,CORRECT,False,,
67,train,two rival African Nationalist Parties of Northern,CORRECT,CORRECT,False,,
68,train,would still favour the abolition of the House,CORRECT,CORRECT,False,,
69,train,have an adequate number of members . THE,INCORRECT: number→mumber | CORRECTED: have an adequate mumber of members . THE,INCORRECT,True,number→mumber,have an adequate mumber of members . THE
70,train,Rhodesia have agreed to get together to face the,CORRECT,CORRECT,False,,
71,train,"Party ( 280,000 members ) and Mr. Harry Nkumbula's African",CORRECT,CORRECT,False,,
72,train,to discuss a common course of action . Sir Roy is,CORRECT,CORRECT,False,,
73,train,Delegates from Mr. Kenneth Kaunda's United National Independence,INCORRECT: from→forum | CORRECTED: Delegates forum Mr. Kenneth Kaunda's United National Independence,INCORRECT,True,from→forum,Delegates forum Mr. Kenneth Kaunda's United National Independence
74,train,violently opposed to Africans getting an elected majority,CORRECT,CORRECT,False,,
75,train,"in Northern Rhodesia , but the Colonial Secretary ,",CORRECT,CORRECT,False,,
76,train,"National Congress ( 400,000 ) will meet in London today",CORRECT,CORRECT,False,,
77,train,"Mr. Iain Macleod , is insisting on a policy of change .",CORRECT,CORRECT,False,,
78,train,Delegates from Mr. Kenneth Kaunda's,CORRECT,CORRECT,False,,
79,train,"( 280,000 members ) and Mr. Harry Nkumbula's","INCORRECT: Mr.→her | CORRECTED: ( 280,000 members ) and her. Harry Nkumbula's",INCORRECT,True,Mr.→her,"( 280,000 members ) and her. Harry Nkumbula's"
80,train,"majority in Northern Rhodesia , but the",CORRECT,CORRECT,False,,
81,train,"African National Congress ( 400,000 ) will",CORRECT,CORRECT,False,,
82,train,meet in London today to discuss a common,CORRECT,CORRECT,False,,
83,train,United National Independence Party,"INCORRECT: extra ""United"" at start | CORRECTED: National Independence Party",INCORRECT,True,"extra ""United"" at start",National Independence Party
84,train,"Colonial Secretary , Mr. Iain Macleod ,",CORRECT,CORRECT,False,,
85,train,course of action . Sir Roy is violently,"INCORRECT: course→cause, action→achicu | CORRECTED: cause of achicu. Sir Roy is violently",INCORRECT,True,"course→cause, action→achicu",cause of achicu. Sir Roy is violently
86,train,is insisting on a policy of change .,CORRECT,CORRECT,False,,
87,train,opposed to Africans getting an elected,INCORRECT: an→and | CORRECTED: opposed to Africans getting and elected,INCORRECT,True,an→and,opposed to Africans getting and elected
88,train,"Rhodesia , but the Colonial Secretary , Mr. Iain",CORRECT,CORRECT,False,,
89,train,getting an elected majority in Northern,CORRECT,CORRECT,False,,
90,train,"National Independence Party ( 280,000 members )",CORRECT,CORRECT,False,,
91,train,"Congress ( 400,000 ) will meet in London today",CORRECT,CORRECT,False,,
92,train,to discuss a common course of action .,CORRECT,CORRECT,False,,
93,train,"Macleod , is insisting on a policy of change .","INCORRECT: insisting→insishing | CORRECTED: Macleod , is insishing on a policy of change .",INCORRECT,True,insisting→insishing,"Macleod , is insishing on a policy of change ."
94,train,and Mr. Harry Nkumbula's African National,CORRECT,CORRECT,False,,
95,train,Delegates from Mr. Kenneth Kaunda's United,INCORRECT: Kaunda's→Kaumala's | CORRECTED: Delegates from Mr. Kenneth Kaumala's United,INCORRECT,True,Kaunda's→Kaumala's,Delegates from Mr. Kenneth Kaumala's United
96,train,Sir Roy is violently opposed to Africans,CORRECT,CORRECT,False,,
97,train,"chief aide , Mr. Julius Greenfield , telephoned","INCORRECT: chief→thief, aide→made | CORRECTED: thief made, Mr. Julius Greenfield, telephoned",INCORRECT,True,"chief→thief, aide→made","thief made, Mr. Julius Greenfield, telephoned"
98,train,his chief a report on his talks with,INCORRECT: talks→tallies | CORRECTED: his chief a report on his tallies with,INCORRECT,True,talks→tallies,his chief a report on his tallies with
99,train,the talks fall through . There are bound,"INCORRECT: talks→taller | CORRECTED: the taller fall through, There are bound",INCORRECT,True,talks→taller,"the taller fall through, There are bound"
100,train,"to be demonstrations . "" Yesterday Sir Roy's","INCORRECT: <annotation omits final ""d""> | CORRECTED: ""to be demonstrations."" Yesterday Sir Roy's d",INCORRECT,True,"<annotation omits final ""d"">","""to be demonstrations."" Yesterday Sir Roy's d"
101,train,future . Said Mr. Nkumbula last night :,"INCORRECT: night→might | CORRECTED: future, Said Mr. Nkumbula last might;",INCORRECT,True,night→might,"future, Said Mr. Nkumbula last might;"
102,train,Mr. Macmillan at Chequers .,CORRECT,CORRECT,False,,
103,train,""" We want to discuss what to do if the",INCORRECT: the→they | CORRECTED: We want to discuss what to do if they,INCORRECT,True,the→they,We want to discuss what to do if they
104,train,Sir Roy's United Federal Party is boycotting,CORRECT,CORRECT,False,,
105,train,the London talks on the Protectorate's,"INCORRECT: talks→tollers, Protectorate's→Protectionate's | CORRECTED: the London tollers on the Protectionate's",INCORRECT,True,"talks→tollers, Protectorate's→Protectionate's",the London tollers on the Protectionate's
106,train,British Government gives in to Sir Roy and,CORRECT,CORRECT,False,,
107,train,boycotting the London talks on the,CORRECT,CORRECT,False,,
108,train,"do if the British demonstrations . """,CORRECT,CORRECT,False,,
109,train,Sir Roy's United Federal Party is,"INCORRECT: United→Limited, Party→Pauly | CORRECTED: Sir Roy's Limited Federal Pauly is",INCORRECT,True,"United→Limited, Party→Pauly",Sir Roy's Limited Federal Pauly is
110,train,Protectorate's future . Said Mr. Nkumbula,CORRECT,CORRECT,False,,
111,train,at Chequers .,INCORRECT: Chequers→Cluecuers | CORRECTED: at Cluecuers .,INCORRECT,True,Chequers→Cluecuers,at Cluecuers .
112,train,"Yesterday Sir Roy's chief aide , Mr.",CORRECT,CORRECT,False,,
113,train,a report on his talks with Mr. Macmillan,CORRECT,CORRECT,False,,
114,train,"Julius Greenfield , telephoned his chief",CORRECT,CORRECT,False,,
115,train,"last night : "" We want to discuss what to",CORRECT,CORRECT,False,,
116,train,British Government gives in to Sir Roy,INCORRECT: Sir→His | CORRECTED: British Government gives in to His Roy,INCORRECT,True,Sir→His,British Government gives in to His Roy
117,train,and the talks fall through . There are bound,"INCORRECT: There→These, bound→bounds | CORRECTED: and the talks fall through. These are bounds",INCORRECT,True,"There→These, bound→bounds",and the talks fall through. These are bounds
118,train,future . Said Mr. Nkumbula last night :,INCORRECT: Said→Laid | CORRECTED: future. Laid Mr. Nkumbula last night.,INCORRECT,True,Said→Laid,future. Laid Mr. Nkumbula last night.
119,train,the London talks on the Protectorate's,CORRECT,CORRECT,False,,
120,train,"chief aide , Mr. Julius Greenfield , telephoned",CORRECT,CORRECT,False,,
121,train,Macmillan at Chequers .,CORRECT,CORRECT,False,,
122,train,""" We want to discuss what to do if the",CORRECT,CORRECT,False,,
123,train,Sir Roy's United Federal Party is boycotting,CORRECT,CORRECT,False,,
124,train,his chief a report on his talks with Mr.,"INCORRECT: ""his→this, chief→gives"" | CORRECTED: ""this gives a report on his talks with Mr""",INCORRECT,True,"""his→this, chief→gives""","""this gives a report on his talks with Mr"""
125,train,"to be demonstrations . "" Yesterday Sir Roy's","INCORRECT: demonstrations→demonstratious, Sir→Lis | CORRECTED: ""to be demonstratious."" yesterday Lis Roy's",INCORRECT,True,"demonstrations→demonstratious, Sir→Lis","""to be demonstratious."" yesterday Lis Roy's"
126,train,to the Africans and Liberals attending . These,CORRECT,CORRECT,False,,
127,train,will meet to discuss the function of a,CORRECT,CORRECT,False,,
128,train,majority they are seeking . African delegates,CORRECT,CORRECT,False,,
129,train,are studying them today . The conference,CORRECT,CORRECT,False,,
130,train,plans do not give the Africans the overall,CORRECT,CORRECT,False,,
131,train,proposed House of Chiefs .,CORRECT,CORRECT,False,,
132,train,Lancaster House despite the crisis which had,"INCORRECT: ""Lancaster <added word at start>, had <missing 'lancastes' after>"" | CORRECTED: ""House despite the crisis which had lancastes""",INCORRECT,True,"""Lancaster <added word at start>, had <missing 'lancastes' after>""","""House despite the crisis which had lancastes"""
133,train,Mr. Macleod went on with the conference at,"INCORRECT: missing final ""Mr."" | CORRECTED: Mr. Macleod went on with the conference at Mr.",INCORRECT,True,"missing final ""Mr.""",Mr. Macleod went on with the conference at Mr.
134,train,blown up . He has now revealed his full plans,CORRECT,CORRECT,False,,
135,train,Mr. Macleod went on with the conference,CORRECT,CORRECT,False,,
136,train,at Lancaster House despite the crisis,CORRECT,CORRECT,False,,
137,train,them today . The conference will meet,INCORRECT: them→when | CORRECTED: when today. The conference will meet,INCORRECT,True,them→when,when today. The conference will meet
138,train,attending . These plans do not give the,CORRECT,CORRECT,False,,
139,train,Africans the overall majority they are,INCORRECT: the→have the | CORRECTED: Africans have the overall majority they are,INCORRECT,True,the→have the,Africans have the overall majority they are
140,train,House of Chiefs .,CORRECT,CORRECT,False,,
141,train,seeking . African delegates are studying,CORRECT,CORRECT,False,,
142,train,to discuss the function of a proposed,CORRECT,CORRECT,False,,
143,train,which had blown up . He has now revealed,CORRECT,CORRECT,False,,
144,train,his full plans to the Africans and Liberals,CORRECT,CORRECT,False,,
145,train,studying them today . The conference will meet,CORRECT,CORRECT,False,,
146,train,to discuss the function of a proposed House,INCORRECT: House→ttouse | CORRECTED: to discuss the function of a proposed ttouse,INCORRECT,True,House→ttouse,to discuss the function of a proposed ttouse
147,train,blown up . He has now revealed his full plans,CORRECT,CORRECT,False,,
148,train,to the Africans and Liberals attending . These,INCORRECT: These→Theise | CORRECTED: to the Africans and Liberals attending. Theise,INCORRECT,True,These→Theise,to the Africans and Liberals attending. Theise
149,train,plans do not give the Africans the overall majo-,CORRECT,CORRECT,False,,
150,train,rity they are seeking . African delegates are,CORRECT,CORRECT,False,,
151,train,Mr. Macleod went on with the conference at,INCORRECT: conference→comference | CORRECTED: Mr. Macleod went on with the comference at,INCORRECT,True,conference→comference,Mr. Macleod went on with the comference at
152,train,Lancaster House despite the crisis which had,CORRECT,CORRECT,False,,
153,train,of Chiefs .,INCORRECT: Chiefs→Ehiefs | CORRECTED: of Ehiefs.,INCORRECT,True,Chiefs→Ehiefs,of Ehiefs.
154,train,secret negotiations on Northern Rhodesia's future .,CORRECT,CORRECT,False,,
155,train,"Minister of the Central African Federation , went",CORRECT,CORRECT,False,,
156,train,in the Commons last night that there have been,INCORRECT: there→Behe | CORRECTED: in the Commons last night that Behe have been in the Commons,INCORRECT,True,there→Behe,in the Commons last night that Behe have been in the Commons
157,train,to Chequers at the week-end for talks with,CORRECT,CORRECT,False,,
158,train,"MR. IAIN MACLEOD , the Colonial Secretary , denied","INCORRECT: MR.→HR. | CORRECTED: HR. IAIN MACLEOD, the Colonial Secretary, denied",INCORRECT,True,MR.→HR.,"HR. IAIN MACLEOD, the Colonial Secretary, denied"
159,train,"But representatives of Sir Roy Welensky , Prime",CORRECT,CORRECT,False,,
160,train,The Northern Rhodesia conference in London has,CORRECT,CORRECT,False,,
161,train,Mr. Macmillan .,CORRECT,CORRECT,False,,
162,train,been boycotted by the two main settlers' parties -,"INCORRECT: boycotted→boycollected, main→man | CORRECTED: been boycollected by the two man settlers' parties -",INCORRECT,True,"boycotted→boycollected, main→man",been boycollected by the two man settlers' parties -
163,train,the United Federal Party and the Dominion Party .,CORRECT,CORRECT,False,,
164,train,boycotted by the two main settlers' parties -,CORRECT,CORRECT,False,,
165,train,there have been secret negotiations on,CORRECT,CORRECT,False,,
166,train,Party . But representatives of Sir Roy,"INCORRECT: missing ""we"" after But, representatives→presentatives | CORRECTED: Party. But we presentatives of Sir Roy",INCORRECT,True,"missing ""we"" after But, representatives→presentatives",Party. But we presentatives of Sir Roy
167,train,Rhodesia conference in London has been,INCORRECT: been→failed | CORRECTED: Rhodesia conference in London has failed,INCORRECT,True,been→failed,Rhodesia conference in London has failed
168,train,the week-end for talks with Mr. Macmillan .,"INCORRECT: missing final ""the"" | CORRECTED: the week-end for talks with Mr. Macmillan the",INCORRECT,True,"missing final ""the""",the week-end for talks with Mr. Macmillan the
169,train,the United Federal Party and the Dominion,CORRECT,CORRECT,False,,
170,train,denied in the Commons last night that,CORRECT,CORRECT,False,,
171,train,"Welensky , Prime Minister of the Central",CORRECT,CORRECT,False,,
172,train,"African Federation , went to Chequers at",CORRECT,CORRECT,False,,
173,train,Northern Rhodesia's future . The Northern,CORRECT,CORRECT,False,,
174,train,"MR. IAIN MACLEOD , the Colonial Secretary ,","INCORRECT: ""MR."" added before IAIN, missing ""M.V."" after Secretary | CORRECTED: IAIN MACLEOD, the Colonial Secretary M.V.",INCORRECT,True,"""MR."" added before IAIN, missing ""M.V."" after Secretary","IAIN MACLEOD, the Colonial Secretary M.V."
175,train,in the Commons last night that there have,INCORRECT: Commons→Commuous | CORRECTED: in the Commuous last night that there have,INCORRECT,True,Commons→Commuous,in the Commuous last night that there have
176,train,"Central African Federation , went to Chequers",CORRECT,CORRECT,False,,
177,train,"Mr. Iain Macleod , the Colonial Secretary , denied","INCORRECT: Iain→Jain | CORRECTED: Mr. Jain Macleod, the Colonial Secretary, denied",INCORRECT,True,Iain→Jain,"Mr. Jain Macleod, the Colonial Secretary, denied"
178,train,future . The Northern Rhodesia conference in,INCORRECT: in→im | CORRECTED: future. The Northern Rhodesia conference im,INCORRECT,True,in→im,future. The Northern Rhodesia conference im
179,train,been secret negotiations on the Northern Rhodesia's,CORRECT,CORRECT,False,,
180,train,and the Dominion Party . But representatives,CORRECT,CORRECT,False,,
181,train,London has been boycotted by the two main,CORRECT,CORRECT,False,,
182,train,settlers' parties - the United Federal Party,INCORRECT: settlers'→settler's | CORRECTED: settler's parties - the United Federal Party,INCORRECT,True,settlers'→settler's,settler's parties - the United Federal Party
183,train,at the week-end for talks with Mr. Macmillan .,CORRECT,CORRECT,False,,
184,train,"of Sir Roy Welensky , Prime Minister of the",CORRECT,CORRECT,False,,
185,train,He said Britain had an obligation to consult the Federal,INCORRECT: Federal→Federated | CORRECTED: He said Britain had an obligation to consult the Federated,INCORRECT,True,Federal→Federated,He said Britain had an obligation to consult the Federated
186,train,refusing to sit round the conference table .,CORRECT,CORRECT,False,,
187,train,"M Ps yesterday : "" I have no knowledge of secret negotiations . """,CORRECT,CORRECT,False,,
188,train,Government . But the final decision remained with the British,CORRECT,CORRECT,False,,
189,train,"Government . Mr. James Callaghan , Labour's Colonial spokesman ,",CORRECT,CORRECT,False,,
190,train,said Sir Roy had no right to delay progress in the talks by,CORRECT,CORRECT,False,,
191,train,Mr. Macleod was not at the week-end meeting . But he told,CORRECT,CORRECT,False,,
192,train,Northern Rhodesia is a member of the Federation .,INCORRECT: Federation→Federations | CORRECTED: Northern Rhodesia is a member of the Federations,INCORRECT,True,Federation→Federations,Northern Rhodesia is a member of the Federations
193,train,He said Britain had an obligation to consult,CORRECT,CORRECT,False,,
194,train,the Federal Government . But the final,CORRECT,CORRECT,False,,
195,train,"have no knowledge of secret negotiations . ""","INCORRECT: secret→recent | CORRECTED: ""have no knowledge of recent negotiations .""",INCORRECT,True,secret→recent,"""have no knowledge of recent negotiations ."""
196,train,"spokesman , said Sir Roy had no right to",CORRECT,CORRECT,False,,
197,train,"Mr. James Callaghan , Labour's Colonial",CORRECT,CORRECT,False,,
198,train,"meeting . But he told M Ps yesterday : "" I","INCORRECT: told→hold | CORRECTED: meeting. But he hold MPs yesterday: "" I",INCORRECT,True,told→hold,"meeting. But he hold MPs yesterday: "" I"
199,train,Northern Rhodesia is a member of the Federation .,CORRECT,CORRECT,False,,
200,train,decision remained with the British Government .,CORRECT,CORRECT,False,,
201,train,Mr. Macleod was not at the week-end,CORRECT,CORRECT,False,,
202,train,delay progress in the talks by refusing,CORRECT,CORRECT,False,,
203,train,to sit round the conference table .,CORRECT,CORRECT,False,,
204,train,"the Federal Government . Mr. James Callaghan ,","INCORRECT: Government→Government, James→James | CORRECTED: the Federal Government. Mr. James Callaghan,",INCORRECT,True,"Government→Government, James→James","the Federal Government. Mr. James Callaghan,"
205,train,Northern Rhodesia is a member of the Fede-,CORRECT,CORRECT,False,,
206,train,said Britain had an obligation to consult,CORRECT,CORRECT,False,,
207,train,refusing to sit round the conference table .,CORRECT,CORRECT,False,,
208,train,"have no knowledge of secret negotiations . "" He",CORRECT,CORRECT,False,,
209,train,"Labour's Colonial spokesman , said Sir Roy had",CORRECT,CORRECT,False,,
210,train,no right to delay progress in the talks by,CORRECT,CORRECT,False,,
211,train,ration . Mr. Macleod was not at the week-end,CORRECT,CORRECT,False,,
212,train,"meeting . But he told M Ps yesterday : "" I","INCORRECT: ""M→OM"", ""I→/"" | CORRECTED: meeting. But he told OM Ps yesterday: "" /",INCORRECT,True,"""M→OM"", ""I→/""","meeting. But he told OM Ps yesterday: "" /"
213,train,"negotiations with Sir Roy's representative ,",CORRECT,CORRECT,False,,
214,train,"sent from the Government were "" unsatisfac-",CORRECT,CORRECT,False,,
215,train,Mr. Julius Greenfield . He was at Che-,"INCORRECT: was→knos | CORRECTED: Mr. Julius Greenfield, He knos at Che-",INCORRECT,True,was→knos,"Mr. Julius Greenfield, He knos at Che-"
216,train,day called on Mr. Macmillan to cease his,CORRECT,CORRECT,False,,
217,train,"tory . "" African delegates to the talks yester-","INCORRECT: tory→tony | CORRECTED: ""tony"" African delegates to the talks yester-",INCORRECT,True,tory→tony,"""tony"" African delegates to the talks yester-"
218,train,parties had refused to attend the talks,CORRECT,CORRECT,False,,
219,train,Mr. Macleod thought the two Rhodesian,"INCORRECT: ""Mr→Ms"" | CORRECTED: ""Ms Macleod thought the two Rhodesian""",INCORRECT,True,"""Mr→Ms""","""Ms Macleod thought the two Rhodesian"""
220,train,Sir Roy's Federal Government in the,CORRECT,CORRECT,False,,
221,train,"regarded with "" growing anger "" the "" gross",CORRECT,CORRECT,False,,
222,train,"and unconstitutional "" interference by",CORRECT,CORRECT,False,,
223,train,quers last week-end . They said they,INCORRECT: last→hart | CORRECTED: quers hart week-end . They said they,INCORRECT,True,last→hart,quers hart week-end . They said they
224,train,because Sir Roy had found messages,CORRECT,CORRECT,False,,
225,train,talks .,INCORRECT: talks→trolls | CORRECTED: trolls,INCORRECT,True,talks→trolls,trolls
226,train,interference by Sir Roy's Federal Government in the talks .,INCORRECT: talks→tallies | CORRECTED: interference by Sir Roy's Federal Government in the tallies,INCORRECT,True,talks→tallies,interference by Sir Roy's Federal Government in the tallies
227,train,had found messages sent from the Government were,INCORRECT: were→where | CORRECTED: had found messages sent from the Government where,INCORRECT,True,were→where,had found messages sent from the Government where
228,train,at Chequers last week-end . They said they regarded,CORRECT,CORRECT,False,,
229,train,called on Mr. Macmillan to cease his negotiations with,CORRECT,CORRECT,False,,
230,train,had refused to attend the talks because Sir Roy,CORRECT,CORRECT,False,,
231,train,"with "" growing anger "" the gross and unconstitutional ""","INCORRECT: gross→grass | CORRECTED: with "" growing anger "" the grass and unconstitutional """"",INCORRECT,True,gross→grass,"with "" growing anger "" the grass and unconstitutional """""
232,train,""" unsatisfactory . "" African delegates to the talks yesterday","INCORRECT: talks→tallies | CORRECTED: ""unsatisfactory"", African delegates to the tallies yesterday",INCORRECT,True,talks→tallies,"""unsatisfactory"", African delegates to the tallies yesterday"
233,train,Mr. Macleod thought the two Rhodesian parties,CORRECT,CORRECT,False,,
234,train,"Sir Roy's representative , Mr. Julius Greenfield . He was","INCORRECT: Roy's→Ray's, He was→the wives | CORRECTED: Sir Ray's representative, Mr. Julius Greenfield. the wives",INCORRECT,True,"Roy's→Ray's, He was→the wives","Sir Ray's representative, Mr. Julius Greenfield. the wives"
235,train,racial discrimination in Government,"INCORRECT: racial→judicial, discrimination→discriminations, in→at | CORRECTED: judicial discriminations at Government",INCORRECT,True,"racial→judicial, discrimination→discriminations, in→at",judicial discriminations at Government
236,train,defended the appointment of a Negro as,CORRECT,CORRECT,False,,
237,train,strong opposition from the anti-Negro,"INCORRECT: strong→showing, opposition→apparitions | CORRECTED: showing apparitions from the anti-Negro",INCORRECT,True,"strong→showing, opposition→apparitions",showing apparitions from the anti-Negro
238,train,his Housing Minister . It has aroused,CORRECT,CORRECT,False,,
239,train,and State housing projects .,CORRECT,CORRECT,False,,
240,train,Informal talks at Lancaster House will,"INCORRECT: talks→Halles, Lancaster→lancaker | CORRECTED: Informal Halles at lancaker House will",INCORRECT,True,"talks→Halles, Lancaster→lancaker",Informal Halles at lancaker House will
241,train,B.Kaufmann,CORRECT,CORRECT,False,,
242,train,senators of the Deep South . The negro,CORRECT,CORRECT,False,,
243,train,resume today . President Kennedy today,INCORRECT: resume→Presume | CORRECTED: Presume today. President Kennedy today,INCORRECT,True,resume→Presume,Presume today. President Kennedy today
244,train,is Mr. Robert Weaver of New York . One,INCORRECT: Robert Weaver→Robert L Weaver | CORRECTED: is Mr. Robert L Weaver of New York One,INCORRECT,True,Robert Weaver→Robert L Weaver,is Mr. Robert L Weaver of New York One
245,train,of his tasks will be to see there is no,CORRECT,CORRECT,False,,
246,train,Deep South . The negro is Mr. Robert #,CORRECT,CORRECT,False,,
247,train,Weaver of New York . One of his tasks will,"INCORRECT: tasks→talks, will→with | CORRECTED: Weaver of New York. One of his talks with",INCORRECT,True,"tasks→talks, will→with",Weaver of New York. One of his talks with
248,train,in Government and State housing,CORRECT,CORRECT,False,,
