idx,split,ground_truth,model_response,verdict,flagged,reason,corrected_text
52,train,"Since 1958 , 13 Labour life Peers and","INCORRECT: Since→Science | CORRECTED: Science 1958 , 13 Labour life Peers and",INCORRECT,True,Since→Science,"Science 1958 , 13 Labour life Peers and"
53,train,of members . THE two rival African,INCORRECT: African→thieves | CORRECTED: of members . THE two rival thieves,INCORRECT,True,African→thieves,of members . THE two rival thieves
60,train,Labour has to have an adequate number,"INCORRECT: has→was, to→do | CORRECTED: Labour was do have an adequate number",INCORRECT,True,"has→was, to→do",Labour was do have an adequate number
63,train,Peeresses have been created . Most Labour sentiment,INCORRECT: Labour→Palace | CORRECTED: Peeresses have been created . Most Palace sentiment,INCORRECT,True,Labour→Palace,Peeresses have been created . Most Palace sentiment
64,train,"Since 1958 , 13 Labour life Peers and #","INCORRECT: life→Life, #→Peers | CORRECTED: Since 1958, 13 Labour Life Peers and Peers",INCORRECT,True,"life→Life, #→Peers","Since 1958, 13 Labour Life Peers and Peers"
69,train,have an adequate number of members . THE,INCORRECT: number→mumber | CORRECTED: have an adequate mumber of members . THE,INCORRECT,True,number→mumber,have an adequate mumber of members . THE
73,train,Delegates from Mr. Kenneth Kaunda's United National Independence,INCORRECT: from→forum | CORRECTED: Delegates forum Mr. Kenneth Kaunda's United National Independence,INCORRECT,True,from→forum,Delegates forum Mr. Kenneth Kaunda's United National Independence
79,train,"( 280,000 members ) and Mr. Harry Nkumbula's","INCORRECT: Mr.→her | CORRECTED: ( 280,000 members ) and her. Harry Nkumbula's",INCORRECT,True,Mr.→her,"( 280,000 members ) and her. Harry Nkumbula's"
83,train,United National Independence Party,"INCORRECT: extra ""United"" at start | CORRECTED: National Independence Party",INCORRECT,True,"extra ""United"" at start",National Independence Party
85,train,course of action . Sir Roy is violently,"INCORRECT: course→cause, action→achicu | CORRECTED: cause of achicu. Sir Roy is violently",INCORRECT,True,"course→cause, action→achicu",cause of achicu. Sir Roy is violently
87,train,opposed to Africans getting an elected,INCORRECT: an→and | CORRECTED: opposed to Africans getting and elected,INCORRECT,True,an→and,opposed to Africans getting and elected
93,train,"Macleod , is insisting on a policy of change .","INCORRECT: insisting→insishing | CORRECTED: Macleod , is insishing on a policy of change .",INCORRECT,True,insisting→insishing,"Macleod , is insishing on a policy of change ."
95,train,Delegates from Mr. Kenneth Kaunda's United,INCORRECT: Kaunda's→Kaumala's | CORRECTED: Delegates from Mr. Kenneth Kaumala's United,INCORRECT,True,Kaunda's→Kaumala's,Delegates from Mr. Kenneth Kaumala's United
97,train,"chief aide , Mr. Julius Greenfield , telephoned","INCORRECT: chief→thief, aide→made | CORRECTED: thief made, Mr. Julius Greenfield, telephoned",INCORRECT,True,"chief→thief, aide→made","thief made, Mr. Julius Greenfield, telephoned"
98,train,his chief a report on his talks with,INCORRECT: talks→tallies | CORRECTED: his chief a report on his tallies with,INCORRECT,True,talks→tallies,his chief a report on his tallies with
99,train,the talks fall through . There are bound,"INCORRECT: talks→taller | CORRECTED: the taller fall through, There are bound",INCORRECT,True,talks→taller,"the taller fall through, There are bound"
100,train,"to be demonstrations . "" Yesterday Sir Roy's","INCORRECT: <annotation omits final ""d""> | CORRECTED: ""to be demonstrations."" Yesterday Sir Roy's d",INCORRECT,True,"<annotation omits final ""d"">","""to be demonstrations."" Yesterday Sir Roy's d"
101,train,future . Said Mr. Nkumbula last night :,"INCORRECT: night→might | CORRECTED: future, Said Mr. Nkumbula last might;",INCORRECT,True,night→might,"future, Said Mr. Nkumbula last might;"
103,train,""" We want to discuss what to do if the",INCORRECT: the→they | CORRECTED: We want to discuss what to do if they,INCORRECT,True,the→they,We want to discuss what to do if they
105,train,the London talks on the Protectorate's,"INCORRECT: talks→tollers, Protectorate's→Protectionate's | CORRECTED: the London tollers on the Protectionate's",INCORRECT,True,"talks→tollers, Protectorate's→Protectionate's",the London tollers on the Protectionate's
109,train,Sir Roy's United Federal Party is,"INCORRECT: United→Limited, Party→Pauly | CORRECTED: Sir Roy's Limited Federal Pauly is",INCORRECT,True,"United→Limited, Party→Pauly",Sir Roy's Limited Federal Pauly is
111,train,at Chequers .,INCORRECT: Chequers→Cluecuers | CORRECTED: at Cluecuers .,INCORRECT,True,Chequers→Cluecuers,at Cluecuers .
116,train,British Government gives in to Sir Roy,INCORRECT: Sir→His | CORRECTED: British Government gives in to His Roy,INCORRECT,True,Sir→His,British Government gives in to His Roy
117,train,and the talks fall through . There are bound,"INCORRECT: There→These, bound→bounds | CORRECTED: and the talks fall through. These are bounds",INCORRECT,True,"There→These, bound→bounds",and the talks fall through. These are bounds
118,train,future . Said Mr. Nkumbula last night :,INCORRECT: Said→Laid | CORRECTED: future. Laid Mr. Nkumbula last night.,INCORRECT,True,Said→Laid,future. Laid Mr. Nkumbula last night.
124,train,his chief a report on his talks with Mr.,"INCORRECT: ""his→this, chief→gives"" | CORRECTED: ""this gives a report on his talks with Mr""",INCORRECT,True,"""his→this, chief→gives""","""this gives a report on his talks with Mr"""
125,train,"to be demonstrations . "" Yesterday Sir Roy's","INCORRECT: demonstrations→demonstratious, Sir→Lis | CORRECTED: ""to be demonstratious."" yesterday Lis Roy's",INCORRECT,True,"demonstrations→demonstratious, Sir→Lis","""to be demonstratious."" yesterday Lis Roy's"
132,train,Lancaster House despite the crisis which had,"INCORRECT: ""Lancaster <added word at start>, had <missing 'lancastes' after>"" | CORRECTED: ""House despite the crisis which had lancastes""",INCORRECT,True,"""Lancaster <added word at start>, had <missing 'lancastes' after>""","""House despite the crisis which had lancastes"""
133,train,Mr. Macleod went on with the conference at,"INCORRECT: missing final ""Mr."" | CORRECTED: Mr. Macleod went on with the conference at Mr.",INCORRECT,True,"missing final ""Mr.""",Mr. Macleod went on with the conference at Mr.
137,train,them today . The conference will meet,INCORRECT: them→when | CORRECTED: when today. The conference will meet,INCORRECT,True,them→when,when today. The conference will meet
139,train,Africans the overall majority they are,INCORRECT: the→have the | CORRECTED: Africans have the overall majority they are,INCORRECT,True,the→have the,Africans have the overall majority they are
146,train,to discuss the function of a proposed House,INCORRECT: House→ttouse | CORRECTED: to discuss the function of a proposed ttouse,INCORRECT,True,House→ttouse,to discuss the function of a proposed ttouse
148,train,to the Africans and Liberals attending . These,INCORRECT: These→Theise | CORRECTED: to the Africans and Liberals attending. Theise,INCORRECT,True,These→Theise,to the Africans and Liberals attending. Theise
151,train,Mr. Macleod went on with the conference at,INCORRECT: conference→comference | CORRECTED: Mr. Macleod went on with the comference at,INCORRECT,True,conference→comference,Mr. Macleod went on with the comference at
153,train,of Chiefs .,INCORRECT: Chiefs→Ehiefs | CORRECTED: of Ehiefs.,INCORRECT,True,Chiefs→Ehiefs,of Ehiefs.
156,train,in the Commons last night that there have been,INCORRECT: there→Behe | CORRECTED: in the Commons last night that Behe have been in the Commons,INCORRECT,True,there→Behe,in the Commons last night that Behe have been in the Commons
158,train,"MR. IAIN MACLEOD , the Colonial Secretary , denied","INCORRECT: MR.→HR. | CORRECTED: HR. IAIN MACLEOD, the Colonial Secretary, denied",INCORRECT,True,MR.→HR.,"HR. IAIN MACLEOD, the Colonial Secretary, denied"
162,train,been boycotted by the two main settlers' parties -,"INCORRECT: boycotted→boycollected, main→man | CORRECTED: been boycollected by the two man settlers' parties -",INCORRECT,True,"boycotted→boycollected, main→man",been boycollected by the two man settlers' parties -
166,train,Party . But representatives of Sir Roy,"INCORRECT: missing ""we"" after But, representatives→presentatives | CORRECTED: Party. But we presentatives of Sir Roy",INCORRECT,True,"missing ""we"" after But, representatives→presentatives",Party. But we presentatives of Sir Roy
167,train,Rhodesia conference in London has been,INCORRECT: been→failed | CORRECTED: Rhodesia conference in London has failed,INCORRECT,True,been→failed,Rhodesia conference in London has failed
168,train,the week-end for talks with Mr. Macmillan .,"INCORRECT: missing final ""the"" | CORRECTED: the week-end for talks with Mr. Macmillan the",INCORRECT,True,"missing final ""the""",the week-end for talks with Mr. Macmillan the
174,train,"MR. IAIN MACLEOD , the Colonial Secretary ,","INCORRECT: ""MR."" added before IAIN, missing ""M.V."" after Secretary | CORRECTED: IAIN MACLEOD, the Colonial Secretary M.V.",INCORRECT,True,"""MR."" added before IAIN, missing ""M.V."" after Secretary","IAIN MACLEOD, the Colonial Secretary M.V."
175,train,in the Commons last night that there have,INCORRECT: Commons→Commuous | CORRECTED: in the Commuous last night that there have,INCORRECT,True,Commons→Commuous,in the Commuous last night that there have
177,train,"Mr. Iain Macleod , the Colonial Secretary , denied","INCORRECT: Iain→Jain | CORRECTED: Mr. Jain Macleod, the Colonial Secretary, denied",INCORRECT,True,Iain→Jain,"Mr. Jain Macleod, the Colonial Secretary, denied"
178,train,future . The Northern Rhodesia conference in,INCORRECT: in→im | CORRECTED: future. The Northern Rhodesia conference im,INCORRECT,True,in→im,future. The Northern Rhodesia conference im
182,train,settlers' parties - the United Federal Party,INCORRECT: settlers'→settler's | CORRECTED: settler's parties - the United Federal Party,INCORRECT,True,settlers'→settler's,settler's parties - the United Federal Party
185,train,He said Britain had an obligation to consult the Federal,INCORRECT: Federal→Federated | CORRECTED: He said Britain had an obligation to consult the Federated,INCORRECT,True,Federal→Federated,He said Britain had an obligation to consult the Federated
192,train,Northern Rhodesia is a member of the Federation .,INCORRECT: Federation→Federations | CORRECTED: Northern Rhodesia is a member of the Federations,INCORRECT,True,Federation→Federations,Northern Rhodesia is a member of the Federations
195,train,"have no knowledge of secret negotiations . ""","INCORRECT: secret→recent | CORRECTED: ""have no knowledge of recent negotiations .""",INCORRECT,True,secret→recent,"""have no knowledge of recent negotiations ."""
198,train,"meeting . But he told M Ps yesterday : "" I","INCORRECT: told→hold | CORRECTED: meeting. But he hold MPs yesterday: "" I",INCORRECT,True,told→hold,"meeting. But he hold MPs yesterday: "" I"
204,train,"the Federal Government . Mr. James Callaghan ,","INCORRECT: Government→Government, James→James | CORRECTED: the Federal Government. Mr. James Callaghan,",INCORRECT,True,"Government→Government, James→James","the Federal Government. Mr. James Callaghan,"
212,train,"meeting . But he told M Ps yesterday : "" I","INCORRECT: ""M→OM"", ""I→/"" | CORRECTED: meeting. But he told OM Ps yesterday: "" /",INCORRECT,True,"""M→OM"", ""I→/""","meeting. But he told OM Ps yesterday: "" /"
215,train,Mr. Julius Greenfield . He was at Che-,"INCORRECT: was→knos | CORRECTED: Mr. Julius Greenfield, He knos at Che-",INCORRECT,True,was→knos,"Mr. Julius Greenfield, He knos at Che-"
217,train,"tory . "" African delegates to the talks yester-","INCORRECT: tory→tony | CORRECTED: ""tony"" African delegates to the talks yester-",INCORRECT,True,tory→tony,"""tony"" African delegates to the talks yester-"
219,train,Mr. Macleod thought the two Rhodesian,"INCORRECT: ""Mr→Ms"" | CORRECTED: ""Ms Macleod thought the two Rhodesian""",INCORRECT,True,"""Mr→Ms""","""Ms Macleod thought the two Rhodesian"""
223,train,quers last week-end . They said they,INCORRECT: last→hart | CORRECTED: quers hart week-end . They said they,INCORRECT,True,last→hart,quers hart week-end . They said they
225,train,talks .,INCORRECT: talks→trolls | CORRECTED: trolls,INCORRECT,True,talks→trolls,trolls
226,train,interference by Sir Roy's Federal Government in the talks .,INCORRECT: talks→tallies | CORRECTED: interference by Sir Roy's Federal Government in the tallies,INCORRECT,True,talks→tallies,interference by Sir Roy's Federal Government in the tallies
227,train,had found messages sent from the Government were,INCORRECT: were→where | CORRECTED: had found messages sent from the Government where,INCORRECT,True,were→where,had found messages sent from the Government where
231,train,"with "" growing anger "" the gross and unconstitutional ""","INCORRECT: gross→grass | CORRECTED: with "" growing anger "" the grass and unconstitutional """"",INCORRECT,True,gross→grass,"with "" growing anger "" the grass and unconstitutional """""
232,train,""" unsatisfactory . "" African delegates to the talks yesterday","INCORRECT: talks→tallies | CORRECTED: ""unsatisfactory"", African delegates to the tallies yesterday",INCORRECT,True,talks→tallies,"""unsatisfactory"", African delegates to the tallies yesterday"
234,train,"Sir Roy's representative , Mr. Julius Greenfield . He was","INCORRECT: Roy's→Ray's, He was→the wives | CORRECTED: Sir Ray's representative, Mr. Julius Greenfield. the wives",INCORRECT,True,"Roy's→Ray's, He was→the wives","Sir Ray's representative, Mr. Julius Greenfield. the wives"
235,train,racial discrimination in Government,"INCORRECT: racial→judicial, discrimination→discriminations, in→at | CORRECTED: judicial discriminations at Government",INCORRECT,True,"racial→judicial, discrimination→discriminations, in→at",judicial discriminations at Government
237,train,strong opposition from the anti-Negro,"INCORRECT: strong→showing, opposition→apparitions | CORRECTED: showing apparitions from the anti-Negro",INCORRECT,True,"strong→showing, opposition→apparitions",showing apparitions from the anti-Negro
240,train,Informal talks at Lancaster House will,"INCORRECT: talks→Halles, Lancaster→lancaker | CORRECTED: Informal Halles at lancaker House will",INCORRECT,True,"talks→Halles, Lancaster→lancaker",Informal Halles at lancaker House will
243,train,resume today . President Kennedy today,INCORRECT: resume→Presume | CORRECTED: Presume today. President Kennedy today,INCORRECT,True,resume→Presume,Presume today. President Kennedy today
244,train,is Mr. Robert Weaver of New York . One,INCORRECT: Robert Weaver→Robert L Weaver | CORRECTED: is Mr. Robert L Weaver of New York One,INCORRECT,True,Robert Weaver→Robert L Weaver,is Mr. Robert L Weaver of New York One
247,train,Weaver of New York . One of his tasks will,"INCORRECT: tasks→talks, will→with | CORRECTED: Weaver of New York. One of his talks with",INCORRECT,True,"tasks→talks, will→with",Weaver of New York. One of his talks with
249,train,his Housing Minister . It has aroused strong,"INCORRECT: extra ""his"" at start, strong→changing | CORRECTED: Housing Minister. It has aroused changing",INCORRECT,True,"extra ""his"" at start, strong→changing",Housing Minister. It has aroused changing
253,train,Informal talks at Lancaster House will,INCORRECT: will→Wilfred | CORRECTED: Informal talks at Lancaster House Wilfred,INCORRECT,True,will→Wilfred,Informal talks at Lancaster House Wilfred
254,train,resume today . PRESIDENT KENNEDY today,"INCORRECT: resume→today, extra ""today"" removed, ""we"" added at end | CORRECTED: today. PRESIDENT KENNEDY today we",INCORRECT,True,"resume→today, extra ""today"" removed, ""we"" added at end",today. PRESIDENT KENNEDY today we
255,train,be to see there is no racial discrimination,"INCORRECT: extra ""be"" at start | CORRECTED: to see there is no racial discrimination",INCORRECT,True,"extra ""be"" at start",to see there is no racial discrimination
260,train,today . PRESIDENT KENNEDY today defended,INCORRECT: defended→defend | CORRECTED: today PRESIDENT KENNEDY today defend,INCORRECT,True,defended→defend,today PRESIDENT KENNEDY today defend
263,train,Robert Weaver of New York . One of his tasks,"INCORRECT: Robert→Robart, tasks→tashes | CORRECTED: Robart Weaver of New York. One of his tashes",INCORRECT,True,"Robert→Robart, tasks→tashes",Robart Weaver of New York. One of his tashes
266,train,off the opposition by telling a television,"INCORRECT: off→of, opposition→apparitions | CORRECTED: of the apparitions by telling a television",INCORRECT,True,"off→of, opposition→apparitions",of the apparitions by telling a television
267,train,of Virginia - met today in closed session,INCORRECT: met→meet | CORRECTED: of Virginia - meet today in closed session,INCORRECT,True,met→meet,of Virginia - meet today in closed session
272,train,to discuss Weaver's appointment . Senator,INCORRECT: Senator→Seward Law | CORRECTED: to discuss Weaver's appointment Seward Law,INCORRECT,True,Senator→Seward Law,to discuss Weaver's appointment Seward Law
276,train,Virginia - met today in closed session to,"INCORRECT: Virginia placed at line start instead of after ""to"" | CORRECTED: met today in closed session to Virginia",INCORRECT,True,"Virginia placed at line start instead of after ""to""",met today in closed session to Virginia
279,train,Robertson later disclosed he had sent a letter,INCORRECT: Robertson→Ralldon | CORRECTED: Ralldon later disclosed he had sent a letter,INCORRECT,True,Robertson→Ralldon,Ralldon later disclosed he had sent a letter
281,train,"Washington gossip "" that Weaver once had",INCORRECT: Washington→Wankington | CORRECTED: Wankington gossip that Weaver once had,INCORRECT,True,Washington→Wankington,Wankington gossip that Weaver once had
282,train,Communist affiliations . The Senate Banking,"INCORRECT: ""Communist → Committee of"" | CORRECTED: ""Committee of affiliations. The Senate Banking""",INCORRECT,True,"""Communist → Committee of""","""Committee of affiliations. The Senate Banking"""
286,train,"Willis Robertson , of Virginia - met today in","INCORRECT: missing leading ""With"" | CORRECTED: With Willis Robertson of Virginia met today in",INCORRECT,True,"missing leading ""With""",With Willis Robertson of Virginia met today in
287,train,letter to Mr. Kennedy saying he had received several,"INCORRECT: ""letter→Hello, he→we"" | CORRECTED: ""Hello to Mr. Kennedy saying we had received several""",INCORRECT,True,"""letter→Hello, he→we""","""Hello to Mr. Kennedy saying we had received several"""
288,train,"gossip "" that Weaver once had Communist affilia-","INCORRECT: missing ""gossip that"" after affilia- | CORRECTED: ""gossip"" that Weaver once had Communist affilia-gossip that",INCORRECT,True,"missing ""gossip that"" after affilia-","""gossip"" that Weaver once had Communist affilia-gossip that"
289,train,complaints about Weaver's loyalty .,INCORRECT: complaints→complaint | CORRECTED: complaint about Weaver's loyalty.,INCORRECT,True,complaints→complaint,complaint about Weaver's loyalty.
291,train,Senator Robertson later disclosed he had sent a,INCORRECT: he→we | CORRECTED: Senator Robertson later disclosed we had sent a,INCORRECT,True,he→we,Senator Robertson later disclosed we had sent a
294,train,is headed by another Southern Senator -,"INCORRECT: missing trailing ""is"" | CORRECTED: is headed by another Southern Senator - is",INCORRECT,True,"missing trailing ""is""",is headed by another Southern Senator - is
297,train,Robertson saying the Federal Bureau of In-,INCORRECT: Robertson→Rather than | CORRECTED: Rather than saying the Federal Bureau of In-,INCORRECT,True,Robertson→Rather than,Rather than saying the Federal Bureau of In-
298,train,"He believed he would perform "" outstanding",INCORRECT: outstanding→outstandingly | CORRECTED: He believed he would perform outstandingly,INCORRECT,True,outstanding→outstandingly,He believed he would perform outstandingly
300,train,Mr. Kennedy rushed a letter to Senator,INCORRECT: letter→letters | CORRECTED: Mr. Kennedy rushed a letters to Senator,INCORRECT,True,letter→letters,Mr. Kennedy rushed a letters to Senator
303,train,"service "" in his post . Senator Robertson's","INCORRECT: ""service→resource"" | CORRECTED: ""resource in his post. Senator Robertson's""",INCORRECT,True,"""service→resource""","""resource in his post. Senator Robertson's"""
307,train,listed by the Government . Immediately,INCORRECT: listed→Unlisted | CORRECTED: Unlisted by the Government Immediately,INCORRECT,True,listed→Unlisted,Unlisted by the Government Immediately
308,train,has to pass Mr. Weaver's nomination before it,INCORRECT: Weaver's→Weaves's | CORRECTED: has to pass Mr. Weaves's nomination before it,INCORRECT,True,Weaver's→Weaves's,has to pass Mr. Weaves's nomination before it
311,train,listed by the Government . Immediately Mr.,INCORRECT: Mr.→Kerr | CORRECTED: listed by the Government. Immediately Kerr.,INCORRECT,True,Mr.→Kerr,listed by the Government. Immediately Kerr.
312,train,He said these concerned Mr. Weaver's,INCORRECT: these→those | CORRECTED: He said those concerned Mr. Weaver's,INCORRECT,True,these→those,He said those concerned Mr. Weaver's
314,train,Kennedy rushed a letter to Senator Robertson,INCORRECT: Robertson → Robert Kennedy | CORRECTED: Kennedy rushed a letter to Senator Robert Kennedy,INCORRECT,True,Robertson → Robert Kennedy,Kennedy rushed a letter to Senator Robert Kennedy
315,train,reported on Mr. Weaver . He believed,"INCORRECT: missing final ""reported"" | CORRECTED: reported on Mr. Weaver. He believed reported",INCORRECT,True,"missing final ""reported""",reported on Mr. Weaver. He believed reported
322,train,of Investigation had reported on Mr. Weaver .,INCORRECT: Mr.→Mrs. | CORRECTED: of Investigation had reported on Mrs. Weaver.,INCORRECT,True,Mr.→Mrs.,of Investigation had reported on Mrs. Weaver.
323,train,He said these concerned Mr. Weaver's alleged,INCORRECT: these→those | CORRECTED: He said those concerned Mr. Weaver's alleged,INCORRECT,True,these→those,He said those concerned Mr. Weaver's alleged
324,train,"He believed he would perform "" outstanding","INCORRECT: ""outstanding→outstandingly"" | CORRECTED: He believed he would perform ""outstandingly""",INCORRECT,True,"""outstanding→outstandingly""","He believed he would perform ""outstandingly"""
327,train,"service "" in his post . Senator Robertson's","INCORRECT: post→posh | CORRECTED: ""service"" in his posh. Senator Robertson's",INCORRECT,True,post→posh,"""service"" in his posh. Senator Robertson's"
329,train,over West Germany's cash offer to help,"INCORRECT: over→owes, offer→offers | CORRECTED: owes West Germany's cash offers to help",INCORRECT,True,"over→owes, offer→offers",owes West Germany's cash offers to help
330,train,Germany to pay more . He did not,"INCORRECT: He→they, did→didn't, not→want | CORRECTED: Germany to pay more they didn't want",INCORRECT,True,"He→they, did→didn't, not→want",Germany to pay more they didn't want
331,train,not good enough . And he indicated,INCORRECT: he→the | CORRECTED: not good enough. And the indicated,INCORRECT,True,he→the,not good enough. And the indicated
339,train,PRESIDENT KENNEDY is ready to get tough,INCORRECT: tough→through | CORRECTED: PRESIDENT KENNEDY is ready to get through,INCORRECT,True,tough→through,PRESIDENT KENNEDY is ready to get through
341,train,America's balance of payments position . He,INCORRECT: He→her | CORRECTED: America's balance of payments position. her,INCORRECT,True,He→her,America's balance of payments position. her
348,train,tough over West Germany's cash offer to,"INCORRECT: ""tough→Though, offer→offers"" | CORRECTED: ""Though over West Germany's cash offers to""",INCORRECT,True,"""tough→Though, offer→offers""","""Though over West Germany's cash offers to"""
355,train,that the offer - 357million - was not good,INCORRECT: not→most | CORRECTED: that the offer - 357 million - was most good,INCORRECT,True,not→most,that the offer - 357 million - was most good
356,train,enough . And he indicated that his,INCORRECT: enough→Through | CORRECTED: Through. And he indicated that his,INCORRECT,True,enough→Through,Through. And he indicated that his
363,train,"level than in the past "" might be",INCORRECT: level→lower | CORRECTED: lower than in the past might be,INCORRECT,True,level→lower,lower than in the past might be
365,train,"slice of Germany's "" aid "" # is the early","INCORRECT: ""aid→mid, early→rangy"" | CORRECTED: ""slice of Germany's mid # is the rangy""",INCORRECT,True,"""aid→mid, early→rangy""","""slice of Germany's mid # is the rangy"""
367,train,that this is money due to America,INCORRECT: America→American | CORRECTED: that this is money due to American,INCORRECT,True,America→American,that this is money due to American
368,train,to America anyway .,INCORRECT: America→huesica | CORRECTED: to huesica anyway.,INCORRECT,True,America→huesica,to huesica anyway.
372,train,The President will probably discuss the,INCORRECT: the→issue | CORRECTED: The President will probably discuss issue,INCORRECT,True,the→issue,The President will probably discuss issue
374,train,"level than in the past "" might be useful .",INCORRECT: level→height | CORRECTED: height than in the past might be useful.,INCORRECT,True,level→height,height than in the past might be useful.
375,train,debt to America . United States officials,"INCORRECT: debt→dept, United→British | CORRECTED: dept to America . British States officials",INCORRECT,True,"debt→dept, United→British",dept to America . British States officials
381,train,"level than in the past "" might be useful .","INCORRECT: ""than→Please, past→past's weight, removed extraneous 'might'"" | CORRECTED: level Please in the past's weight be useful.",INCORRECT,True,"""than→Please, past→past's weight, removed extraneous 'might'""",level Please in the past's weight be useful.
385,train,of a 210million debt to America . United,INCORRECT: 210million→2 million | CORRECTED: of a 2 million debt to America . United,INCORRECT,True,210million→2 million,of a 2 million debt to America . United
387,train,"But he said discussions "" on a higher","INCORRECT: he→the, said→social | CORRECTED: But the social discussions on a higher",INCORRECT,True,"he→the, said→social",But the social discussions on a higher
389,train,And they are unimpressed by the Germans' claim,"INCORRECT: ""And→To, unimpressed→unprocessed"" | CORRECTED: ""To they are unprocessed by the Germans' claim""",INCORRECT,True,"""And→To, unimpressed→unprocessed""","""To they are unprocessed by the Germans' claim"""
395,train,good and is not paying for the past,INCORRECT: the→tune | CORRECTED: good and is not paying for tune past,INCORRECT,True,the→tune,good and is not paying for tune past
396,train,Americans say Germany is having it too,INCORRECT: Americans→Hungarians | CORRECTED: Hungarians say Germany is having it too,INCORRECT,True,Americans→Hungarians,Hungarians say Germany is having it too
398,train,answer is the once-and-for-all cash,INCORRECT: answer→august | CORRECTED: august is the once-and-for-all cash,INCORRECT,True,answer→august,august is the once-and-for-all cash
400,train,to pay more - and increase taxation to do,"INCORRECT: to (extraneous), do→shot | CORRECTED: pay more - and increase taxation to shot",INCORRECT,True,"to (extraneous), do→shot",pay more - and increase taxation to shot
402,train,rejection of it is a painful blow to the,INCORRECT: painful blow→pain that belong | CORRECTED: rejection of it is a pain that belong to the,INCORRECT,True,painful blow→pain that belong,rejection of it is a pain that belong to the
403,train,so - or run the obvious # risks in upsetting,"INCORRECT: so→to, #→health, risks→risk | CORRECTED: to or run the obvious health risk in upsetting",INCORRECT,True,"so→to, #→health, risks→risk",to or run the obvious health risk in upsetting
407,train,West German Government . It will now have to pay,"INCORRECT: It→U, have→leave | CORRECTED: West German Government. U will now leave to pay",INCORRECT,True,"It→U, have→leave",West German Government. U will now leave to pay
408,train,dollar reserves . Dr. Adenauer's answer is the,"INCORRECT: answer→currency, is→in, the→Kaiser | CORRECTED: dollar reserves Dr. Adenauer's currency in Kaiser",INCORRECT,True,"answer→currency, is→in, the→Kaiser",dollar reserves Dr. Adenauer's currency in Kaiser
412,train,These support costs are a big drain on America's,INCORRECT: These→There | CORRECTED: There support costs are a big drain on America's,INCORRECT,True,These→There,There support costs are a big drain on America's
421,train,"And , since this is election year in West","INCORRECT: since→riuce, year→geas | CORRECTED: And, riuce this is election geas in West",INCORRECT,True,"since→riuce, year→geas","And, riuce this is election geas in West"
422,train,aides to come up with the answer on,INCORRECT: answer→answers | CORRECTED: aides to come up with the answers on,INCORRECT,True,answer→answers,aides to come up with the answers on
423,train,Russia in missile power . He said he,INCORRECT: power→powers | CORRECTED: Russia in missile powers. He said he,INCORRECT,True,power→powers,Russia in missile powers. He said he
424,train,"Germany , Dr. Adenauer is in a tough","INCORRECT: Adenauer→Adenaues, in→is | CORRECTED: Germany, Dr. Adenaues is is a tough",INCORRECT,True,"Adenauer→Adenaues, in→is","Germany, Dr. Adenaues is is a tough"
